model,dataset,variant,layer,layer_type,numel,trace_raw,trace_per_param,elev_raw,elev_per_param,raw_vs_numel_slope,raw_vs_numel_r2
resnet50_no_weights,CIFAR10,fp32_fused,layer1.0.downsample.0,conv,16384,7.346483958394904,0.00044839379628875146,0.4511976115603678,3.813490576945476,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,conv,16384,7.241980243474245,0.0004420153957198636,0.4447793267266405,3.7592436835522998,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,conv,36864,5.321009906133016,0.00014434163156827842,0.32679945594828713,1.2275938168691698,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.1.conv3,conv,16384,2.380211517214775,0.00014527658186125336,0.1461849991993213,1.2355453633929676,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv1,conv,16384,13.25002933370656,0.0008087176106998633,0.8137745379055313,6.877965336138964,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv2,conv,36864,20.2799285252889,0.0005501282694577067,1.2455285229023376,4.678719886519793,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer1.2.conv3,conv,16384,5.278411375624793,0.00032216866306303667,0.32418319008149404,2.7399735922903825,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv1,conv,32768,47.471972158220076,0.001448729619086306,2.915577108063128,12.321126645047723,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv2,conv,147456,63.627446321340706,0.0004315012364457242,3.907794799860534,3.6698230723656673,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.conv3,conv,65536,27.817297243302868,0.0004244582709244212,1.7084496675311984,3.6099242002770247,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.0.downsample.0,conv,131072,39.70364952087402,0.00030291480652522296,2.4384715103852592,2.576223778879651,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv1,conv,65536,7.715695471763611,0.00011773216967412736,0.47387340503326963,1.0012861983632524,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv2,conv,147456,9.30705860333565,6.311753067583312e-05,0.5716098525851687,0.5368007105909081,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.1.conv3,conv,65536,10.145448782227255,0.0001548072629124032,0.6231011031499096,1.3166017086886719,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv1,conv,65536,8.839882188373142,0.00013488589764973667,0.5429173673361473,1.1471748804456123,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv2,conv,147456,7.424307321247301,5.034930637781644e-05,0.45597727427268786,0.4282097723401542,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.2.conv3,conv,65536,7.931567837210262,0.00012102612056290073,0.4871315971484399,1.0293005259012928,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv1,conv,65536,12.12306850606745,0.0001849833451243202,0.7445601985518308,1.5732426482305117,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv2,conv,147456,13.641056257135729,9.250933334103548e-05,0.8377901642794827,0.7867715251536739,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer2.3.conv3,conv,65536,6.007522988319397,9.166752606688533e-05,0.36896289967751267,0.7796121395106387,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,conv,131072,81.69339100519817,0.0006232711105743268,5.017347497191836,5.300783656531519,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,conv,589824,69.26285823698967,0.00011742970485600733,4.253903824381591,0.9987138016367476,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.conv3,conv,262144,31.99162197113037,0.0001220383528561797,1.9648233774228425,1.0379093388332483,0.20632861938722824,0.12181014028750507
resnet50_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,conv,524288,36.995194307963054,7.056273328392611e-05,2.2721268303989635,0.6001205205981116,0.20632861938722824,0.12181014028750507
