model,dataset,stage,layer,hessian_trace,fp32_acc,isolated_acc,weight_damage_pts,leave_one_out_acc,leave_one_out_recovery_pts
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1,2.7641284267107644,80.56,80.37,0.18999999999999773,84.39,-0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2,2.696769124171773,80.56,80.49,0.07000000000000739,84.38,-0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3,2.909193681819098,80.56,80.52,0.04000000000000625,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1,4.480977555116017,80.56,80.48,0.0799999999999983,84.4,-0.03999999999999204
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2,2.488153249025345,80.56,80.41,0.15000000000000568,84.49,0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3,3.1805098681222823,80.56,80.46,0.10000000000000853,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1,5.15109498160226,80.56,80.52,0.04000000000000625,84.43,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2,6.802356565699858,80.56,80.6,-0.03999999999999204,84.46,0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3,4.344486826505417,80.56,80.44,0.12000000000000455,84.38,-0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1,36.62952559334891,80.56,80.66,-0.09999999999999432,84.52,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2,26.166192531585693,80.56,80.83,-0.269999999999996,84.63,0.18999999999999773
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3,13.538739008062024,80.56,80.69,-0.12999999999999545,84.48,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0,21.21958179473877,80.56,80.71,-0.14999999999999147,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1,5.703507834010654,80.56,80.54,0.01999999999999602,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2,7.599945342901981,80.56,80.67,-0.10999999999999943,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3,5.693531289696693,80.56,80.53,0.030000000000001137,84.48,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1,9.249681132180353,80.56,80.5,0.060000000000002274,84.44,0.0
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2,7.709196844100952,80.56,80.58,-0.01999999999999602,84.45,0.010000000000005116
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3,6.114893215673941,80.56,80.43,0.12999999999999545,84.45,0.010000000000005116
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1,22.640834313851816,80.56,80.49,0.07000000000000739,84.48,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2,14.608375479958276,80.56,80.45,0.10999999999999943,84.47,0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3,8.666889190673828,80.56,80.46,0.10000000000000853,84.46,0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1,28.411259867928244,80.56,80.65,-0.09000000000000341,84.39,-0.04999999999999716
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2,10.197985728581749,80.56,80.47,0.09000000000000341,84.41,-0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3,8.970944702625275,80.56,80.44,0.12000000000000455,84.42,-0.01999999999999602
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1,22.63941237801,80.56,80.64,-0.0799999999999983,84.43,-0.009999999999990905
