model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet18_no_weights,CIFAR10,fp32_unfused,layer4.1.conv2,-0.5902796341026963,1.0
resnet18_no_weights,CIFAR10,fp32_unfused,fc,-0.7987542522958773,1.0
resnet18_no_weights,CIFAR10,fp32_fused,conv1,0.5404553400633614,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv1,0.2705666887895086,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer1.0.conv2,0.05630020521473256,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv1,0.8463238562135147,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer1.1.conv2,-0.14142634068670246,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer2.0.conv1,0.6452262539325759,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer2.0.conv2,-0.05925743790830529,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer2.0.downsample.0,-0.4189008604288351,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer2.1.conv1,0.48922632258489873,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer2.1.conv2,-0.34359006281959426,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer3.0.conv1,0.7938122629789706,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer3.0.conv2,0.15878293977872593,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer3.0.downsample.0,-0.2644584705324382,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer3.1.conv1,0.4110110100147786,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer3.1.conv2,-0.37533396381880824,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer4.0.conv1,0.394365451091109,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer4.0.conv2,-0.281101638661867,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,-0.7383007793381595,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer4.1.conv1,0.32263433100525063,1.0
resnet18_no_weights,CIFAR10,fp32_fused,layer4.1.conv2,-1.1283191622244564,1.0
resnet18_no_weights,CIFAR10,fp32_fused,fc,-1.178015945248251,1.0
resnet18_no_weights,CIFAR10,ptq,conv1,0.48614115038379646,1.0
resnet18_no_weights,CIFAR10,ptq,layer1.0.conv1,0.2164543646854078,1.0
resnet18_no_weights,CIFAR10,ptq,layer1.0.conv2,0.044162777871251446,1.0
resnet18_no_weights,CIFAR10,ptq,layer1.1.conv1,0.965449967829046,1.0
resnet18_no_weights,CIFAR10,ptq,layer1.1.conv2,-0.1326484281167466,1.0
resnet18_no_weights,CIFAR10,ptq,layer2.0.conv1,0.6015491024446522,1.0
resnet18_no_weights,CIFAR10,ptq,layer2.0.conv2,-0.0644187813455197,1.0
resnet18_no_weights,CIFAR10,ptq,layer2.0.downsample.0,-0.33911797201784255,1.0
resnet18_no_weights,CIFAR10,ptq,layer2.1.conv1,0.42861903833828263,1.0
resnet18_no_weights,CIFAR10,ptq,layer2.1.conv2,-0.35917776256616163,1.0
resnet18_no_weights,CIFAR10,ptq,layer3.0.conv1,0.7525156565200999,1.0
resnet18_no_weights,CIFAR10,ptq,layer3.0.conv2,0.1580108000595244,1.0
resnet18_no_weights,CIFAR10,ptq,layer3.0.downsample.0,-0.25815457419976706,1.0
resnet18_no_weights,CIFAR10,ptq,layer3.1.conv1,0.38718559102280103,1.0
resnet18_no_weights,CIFAR10,ptq,layer3.1.conv2,-0.3400512510535929,1.0
resnet18_no_weights,CIFAR10,ptq,layer4.0.conv1,0.37919360294934634,1.0
resnet18_no_weights,CIFAR10,ptq,layer4.0.conv2,-0.27544613717332833,1.0
resnet18_no_weights,CIFAR10,ptq,layer4.0.downsample.0,-0.7307557902184123,1.0
resnet18_no_weights,CIFAR10,ptq,layer4.1.conv1,0.34029520514534806,1.0
resnet18_no_weights,CIFAR10,ptq,layer4.1.conv2,-1.097057832597038,1.0
resnet18_no_weights,CIFAR10,ptq,fc,-1.16274872796116,1.0
cnn,CIFAR10,fp32_unfused,conv1,0.05278436020988275,1.0
cnn,CIFAR10,fp32_unfused,conv2,0.47587450580616464,1.0
cnn,CIFAR10,fp32_unfused,conv3,0.6560975806443974,1.0
cnn,CIFAR10,fp32_unfused,conv4,0.2050914090306386,1.0
cnn,CIFAR10,fp32_unfused,fc1,-0.4609268354179896,1.0
cnn,CIFAR10,fp32_unfused,fc2,-0.9289210202731,1.0
cnn,CIFAR10,fp32_fused,conv1,0.11764792434989979,1.0
cnn,CIFAR10,fp32_fused,conv2,0.9296008582570043,1.0
cnn,CIFAR10,fp32_fused,conv3,0.7671148520067415,1.0
cnn,CIFAR10,fp32_fused,conv4,-0.2096147689896397,1.0
cnn,CIFAR10,fp32_fused,fc1,-0.23018211334437488,1.0
cnn,CIFAR10,fp32_fused,fc2,-1.3745667522796365,1.0
cnn,CIFAR10,ptq,conv1,0.08831079318426849,1.0
cnn,CIFAR10,ptq,conv2,0.926110340211262,1.0
cnn,CIFAR10,ptq,conv3,0.8071589417731575,1.0
cnn,CIFAR10,ptq,conv4,-0.235337878820149,1.0
cnn,CIFAR10,ptq,fc1,-0.24381279558701507,1.0
cnn,CIFAR10,ptq,fc2,-1.3424294007615303,1.0
