model,dataset,stage,layer,mse,sqnr
resnet50_no_weights,IMAGENET100,QAT,layer4.1.conv2.weight,6.015931285219267e-05,-1.3178523270773894
resnet50_no_weights,IMAGENET100,QAT,layer4.1.conv3.weight,5.28174632563605e-06,11.48254131734311
resnet50_no_weights,IMAGENET100,QAT,layer4.2.conv1.weight,0.000977227813564241,-7.677870319305866
resnet50_no_weights,IMAGENET100,QAT,layer4.2.conv2.weight,0.00019099343626294285,-4.671590668786828
resnet50_no_weights,IMAGENET100,QAT,layer4.2.conv3.weight,6.7370278884482104e-06,9.059328403896036
resnet50_no_weights,IMAGENET100,QAT,fc.weight,5.9555270127020776e-05,13.724871606503942
cnn,CIFAR10,PTQ,conv1.weight,0.046745773404836655,4.415061776155942
cnn,CIFAR10,PTQ,conv2.weight,0.0031293872743844986,4.690920783565307
cnn,CIFAR10,PTQ,conv3.weight,0.0003215403121430427,10.877376680907657
cnn,CIFAR10,PTQ,conv4.weight,0.0005127500044181943,2.1688804403048145
cnn,CIFAR10,PTQ,fc1.weight,8.378864549740683e-06,11.055841464872369
cnn,CIFAR10,PTQ,fc2.weight,0.0002130163338733837,13.635672182520695
cnn,CIFAR10,QAT,conv1.weight,0.04592318460345268,4.49216530002489
cnn,CIFAR10,QAT,conv2.weight,0.00314227188937366,4.673076302806233
cnn,CIFAR10,QAT,conv3.weight,0.00032239838037639856,10.865802457344493
cnn,CIFAR10,QAT,conv4.weight,0.0005127015756443143,2.1692906468847446
cnn,CIFAR10,QAT,fc1.weight,8.381623956665862e-06,11.05441144066836
cnn,CIFAR10,QAT,fc2.weight,0.00021386203297879547,13.618464332984994
resnet18_no_weights,CIFAR10,PTQ,conv1.weight,0.012331964448094368,3.922378440382955
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,0.0002544162853155285,7.414043815449888
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,0.000118165226012934,10.69035954388498
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,0.00026976302615366876,5.70941378177851
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,9.73254136624746e-05,9.47603909673486
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,0.00012081328895874321,7.09823271992854
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,7.019170152489096e-05,8.442603689581043
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,0.001148225273936987,5.052645011792984
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,8.482910925522447e-05,7.455047427988626
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,0.00010950796422548592,5.414434956973608
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,4.037069811602123e-05,7.911307836536535
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,2.8482671041274443e-05,7.88338670966147
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,0.0004968899302184582,3.8299041500011093
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,1.6588794096605852e-05,9.41649274245038
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,4.2976054828613997e-05,4.685179359829163
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,6.149589808046585e-06,9.940467290144717
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,6.3917614170350134e-06,8.846722633311826
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0.weight,0.00011131951032439247,7.005689719658039
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1.weight,6.453809874074068e-06,9.978537605078685
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2.weight,5.073343709227629e-05,-0.4911615830434888
resnet18_no_weights,CIFAR10,PTQ,fc.weight,0.00041165456059388816,13.82276856733884
resnet18_no_weights,CIFAR10,QAT,conv1.weight,0.012269777245819569,3.944334297534243
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1.weight,0.0002532746293582022,7.433576003397658
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2.weight,0.0001180807375931181,10.69346587048756
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,0.00027078032144345343,5.693067035328245
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,9.692449384601787e-05,9.493966262152236
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,0.00012109320232411847,7.088182151743808
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,7.003141945460811e-05,8.452532102028593
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,0.001145180081948638,5.064178174482306
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,8.490597974741831e-05,7.451113717751152
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,0.00010934624879155308,5.420853122967281
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,4.031794014736079e-05,7.916987074264159
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,2.845578273991123e-05,7.887488486581059
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,0.000496027700137347,3.8374468070964145
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,1.660084853938315e-05,9.413338036466822
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,4.2963722080457956e-05,4.686425824435024
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,6.152385594759835e-06,9.938493306742393
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,6.39518111711368e-06,8.844399705989098
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,0.00011123521835543215,7.008979475751367
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,6.452167326642666e-06,9.979643060757834
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,5.0716294936137274e-05,-0.4896939115689369
resnet18_no_weights,CIFAR10,QAT,fc.weight,0.0004176305665168911,13.76017510610912
resnet50_no_weights,CIFAR10,PTQ,conv1.weight,0.017742319032549858,1.465809348712959
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv1.weight,0.011342814192175865,1.2355928139167671
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv2.weight,0.0005523099098354578,3.4538551738158683
resnet50_no_weights,CIFAR10,PTQ,layer1.0.conv3.weight,0.00010638624371495098,13.814479234824697
resnet50_no_weights,CIFAR10,PTQ,layer1.0.downsample.0.weight,0.0015639367047697306,1.866461615575272
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv1.weight,0.0007090594153851271,3.327581772593641
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv2.weight,0.0003322249685879797,3.8459116894752765
resnet50_no_weights,CIFAR10,PTQ,layer1.1.conv3.weight,0.00012059837899869308,13.427610181640425
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv1.weight,0.0005170710501261055,4.293373589822486
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv2.weight,0.00039216401637531817,1.8233464347510822
resnet50_no_weights,CIFAR10,PTQ,layer1.2.conv3.weight,5.8428646298125386e-05,13.798685543887954
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv1.weight,0.0010579340159893036,1.288470004841514
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv2.weight,0.00028674048371613026,1.8259770630667682
resnet50_no_weights,CIFAR10,PTQ,layer2.0.conv3.weight,5.648404476232827e-05,13.620842193305238
resnet50_no_weights,CIFAR10,PTQ,layer2.0.downsample.0.weight,0.0007639927789568901,2.03960930890178
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv1.weight,0.0005605922779068351,0.2881331826889947
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv2.weight,0.0002815960324369371,1.4822405600591646
resnet50_no_weights,CIFAR10,PTQ,layer2.1.conv3.weight,2.0756209778483026e-05,13.543568173892028
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1.weight,0.00010786147322505713,5.485382271854355
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2.weight,5.077287642052397e-05,5.150159429335392
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3.weight,1.5895595424808562e-05,13.451355005259348
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1.weight,0.00019408523803576827,3.9060543589122543
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2.weight,4.809926758753136e-05,6.288635297224971
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3.weight,1.1730700862244703e-05,13.327819675601651
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1.weight,4.891971912002191e-05,6.880743992945524
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2.weight,9.893909009406343e-06,7.661705030800099
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3.weight,6.222690444701584e-06,12.011234628052902
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0.weight,1.9484163203742355e-05,6.709162115735876
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1.weight,1.3324515748536214e-05,8.708609406324278
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2.weight,1.3018459867453203e-05,5.577794572478474
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3.weight,5.370348389988067e-06,11.736169907116235
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1.weight,1.0633042620611377e-05,9.566563299862503
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2.weight,1.5150078070291784e-05,4.500589711670004
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3.weight,4.955126769345952e-06,11.30800392940114
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1.weight,1.5888010238995776e-05,8.80778278051604
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2.weight,1.3594687516160775e-05,6.926634603440758
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3.weight,5.685348696715664e-06,12.031418925465662
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1.weight,1.4663901310996152e-05,8.959506599778779
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2.weight,1.8070408259518445e-05,4.703281460502354
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3.weight,4.949895810568705e-06,11.462236907570462
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1.weight,1.4984218978497665e-05,8.785789689053631
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2.weight,2.3391767172142863e-05,3.1921726291953743
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3.weight,4.6204813770600595e-06,11.032503917958936
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1.weight,8.212142347474582e-06,8.903651395630769
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2.weight,7.6244177762418985e-06,2.64165447127309
