model,dataset,stage,layer,eigenvalue
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3.weight,0.0979209840297699
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0.weight,1.0443665981292725
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1.weight,0.4581066370010376
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2.weight,0.7180209755897522
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3.weight,0.1284133642911911
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1.weight,1.5745545625686646
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2.weight,1.2362549304962158
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3.weight,0.29081884026527405
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1.weight,1.6145377159118652
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2.weight,8.88201904296875
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3.weight,4.472038745880127
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,5.535693168640137
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,2.3252768516540527
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,1.3356444835662842
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3.weight,0.8629380464553833
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1.weight,3.2613625526428223
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2.weight,1.4814338684082031
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3.weight,0.44787099957466125
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1.weight,0.6319707632064819
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2.weight,0.13879044353961945
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3.weight,0.23720505833625793
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,5.8876752853393555
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,5.048798084259033
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3.weight,1.512441635131836
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,4.8194580078125
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,0.7005598545074463
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,1.1535561084747314
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3.weight,0.8674024343490601
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1.weight,1.6547226905822754
