model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.conv3,"(2048, 512, 1, 1)",18.29431047439575,1.7446814035793067e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.0.downsample.0,"(2048, 1024, 1, 1)",56.31942343711853,2.6855193823394075e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv1,"(512, 2048, 1, 1)",31.774104527064733,3.0302147414269192e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv2,"(512, 512, 3, 3)",82.75253281226524,3.507509562694348e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.1.conv3,"(2048, 512, 1, 1)",21.99975275993347,2.0980599174436065e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv1,"(512, 2048, 1, 1)",45.08070500691732,4.299231053058369e-05,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv2,"(512, 512, 3, 3)",20.075009085915305,8.50889802971535e-06,20260811
resnet50_no_weights,CIFAR10,fp32_fused,layer4.2.conv3,"(2048, 512, 1, 1)",8.255089434710415,7.872666773519912e-06,20260811
resnet50_no_weights,CIFAR10,fp32_fused,fc,"(10, 2048)",4.531977319717408,0.00022128795506432653,20260811
resnet50_no_weights,CIFAR10,ptq,conv1,"(64, 3, 3, 3)",29.433624561016376,0.017033347546884476,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv1,"(64, 64, 1, 1)",2.663817221468145,0.0006503460013349963,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv2,"(64, 64, 3, 3)",13.065940502711705,0.00035443632006053886,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv3,"(256, 64, 1, 1)",4.7954369613102505,0.00029269024422059635,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.0.downsample.0,"(256, 64, 1, 1)",6.6910877502881565,0.0004083915863212986,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv1,"(64, 256, 1, 1)",5.057945375641187,0.0003087124863062248,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv2,"(64, 64, 3, 3)",10.621580665761774,0.0002881288158029995,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv3,"(256, 64, 1, 1)",4.822192314899329,0.00029432326140742975,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv1,"(64, 256, 1, 1)",9.619653790085405,0.0005871370721487674,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv2,"(64, 64, 3, 3)",3.4195830481392995,9.276212695690373e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv3,"(256, 64, 1, 1)",3.5066138816916426,0.00021402672617746842,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv1,"(128, 256, 1, 1)",10.394847979912392,0.00031722558532447484,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv2,"(128, 128, 3, 3)",12.304521186011177,8.344537479662528e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv3,"(512, 128, 1, 1)",7.495562314987183,0.0001143732042692136,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.downsample.0,"(512, 256, 1, 1)",16.63170165600984,0.00012688981365974305,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv1,"(128, 512, 1, 1)",2.905998531509848,4.434201860824353e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv2,"(128, 128, 3, 3)",5.273855288823445,3.5765620177025315e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv3,"(512, 128, 1, 1)",3.48709577938606,5.320885893838593e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv1,"(128, 512, 1, 1)",4.342034432021054,6.625418750032127e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv2,"(128, 128, 3, 3)",4.140538328572323,2.8079822649280622e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv3,"(512, 128, 1, 1)",3.2815455198287964,5.0072410886059515e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv1,"(128, 512, 1, 1)",7.5706703435807,0.0001155192618344223,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv2,"(128, 128, 3, 3)",6.060719815167514,4.110188676735781e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv3,"(512, 128, 1, 1)",6.109536724090576,9.322413214249537e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv1,"(256, 512, 1, 1)",23.892357444763185,0.00018228422122774647,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv2,"(256, 256, 3, 3)",9.988766758065475,1.6935164995092563e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv3,"(1024, 256, 1, 1)",9.071495362690516,3.460500855518538e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.0.downsample.0,"(1024, 512, 1, 1)",20.489040392416495,3.907974318011569e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv1,"(256, 1024, 1, 1)",2.796321553843362,1.0667120185254525e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv2,"(256, 256, 3, 3)",3.1017173585437594,5.258716767279323e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv3,"(1024, 256, 1, 1)",6.470702018056597,2.468376929495467e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv1,"(256, 1024, 1, 1)",2.422705020223345,9.241886216061954e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv2,"(256, 256, 3, 3)",1.9729279677073162,3.3449435216391945e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv3,"(1024, 256, 1, 1)",4.740273118019104,1.808270690162317e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv1,"(256, 1024, 1, 1)",6.585722950526646,2.5122539331537805e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv2,"(256, 256, 3, 3)",5.601326960104483,9.496607394925407e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv3,"(1024, 256, 1, 1)",8.232591225550724,3.1404843237116715e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv1,"(256, 1024, 1, 1)",3.484022389758717,1.3290490683588855e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv2,"(256, 256, 3, 3)",2.371919464420628,4.0214020867591485e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv3,"(1024, 256, 1, 1)",4.104499416691916,1.565742270161406e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv1,"(256, 1024, 1, 1)",6.8461718440055845,2.6116073013326967e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv2,"(256, 256, 3, 3)",3.2405338375656694,5.494069141923132e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv3,"(1024, 256, 1, 1)",5.22841215133667,1.994480953726452e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv1,"(512, 1024, 1, 1)",8.09881890204645,1.5447271160214328e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv2,"(512, 512, 3, 3)",6.864518014589946,2.909562011121091e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv3,"(2048, 512, 1, 1)",14.448146849870682,1.3778826570387537e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.0.downsample.0,"(2048, 1024, 1, 1)",89.20189113616944,4.253477627571556e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv1,"(512, 2048, 1, 1)",12.461410422074167,1.18841270657293e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv2,"(512, 512, 3, 3)",47.156390478444656,1.9987483757207514e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv3,"(2048, 512, 1, 1)",20.996505555652437,2.0023828082706868e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv1,"(512, 2048, 1, 1)",130.02629834129698,0.00012400274118547151,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,"(512, 512, 3, 3)",32.32502182006836,1.3701130260920358e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,"(2048, 512, 1, 1)",14.122670284907024,1.3468427929789566e-05,20260811
resnet50_no_weights,CIFAR10,ptq,fc,"(10, 2048)",8.698699447843763,0.00042474118397674624,20260811
resnet50_no_weights,CIFAR10,qat,conv1,"(64, 3, 3, 3)",65.14470315486827,0.03769948099240062,20260811
resnet50_no_weights,CIFAR10,qat,layer1.0.conv1,"(64, 64, 1, 1)",4.207667465112647,0.0010272625647247673,20260811
resnet50_no_weights,CIFAR10,qat,layer1.0.conv2,"(64, 64, 3, 3)",32.60682231055365,0.0008845166642402792,20260811
resnet50_no_weights,CIFAR10,qat,layer1.0.conv3,"(256, 64, 1, 1)",9.70893128712972,0.0005925861381304761,20260811
resnet50_no_weights,CIFAR10,qat,layer1.0.downsample.0,"(256, 64, 1, 1)",12.288510221423525,0.000750031141444307,20260811
resnet50_no_weights,CIFAR10,qat,layer1.1.conv1,"(64, 256, 1, 1)",10.724209044918869,0.0006545537747142864,20260811
resnet50_no_weights,CIFAR10,qat,layer1.1.conv2,"(64, 64, 3, 3)",28.92279553413391,0.0007845810420500735,20260811
resnet50_no_weights,CIFAR10,qat,layer1.1.conv3,"(256, 64, 1, 1)",14.234307505867697,0.0008687931827311827,20260811
resnet50_no_weights,CIFAR10,qat,layer1.2.conv1,"(64, 256, 1, 1)",28.193091456095377,0.0017207697421933214,20260811
resnet50_no_weights,CIFAR10,qat,layer1.2.conv2,"(64, 64, 3, 3)",8.564029284885951,0.00023231416245892878,20260811
resnet50_no_weights,CIFAR10,qat,layer1.2.conv3,"(256, 64, 1, 1)",7.893622352963402,0.0004817884736916139,20260811
resnet50_no_weights,CIFAR10,qat,layer2.0.conv1,"(128, 256, 1, 1)",24.345988482236862,0.0007429806055370136,20260811
resnet50_no_weights,CIFAR10,qat,layer2.0.conv2,"(128, 128, 3, 3)",22.57142896950245,0.00015307229932659538,20260811
resnet50_no_weights,CIFAR10,qat,layer2.0.conv3,"(512, 128, 1, 1)",12.529691886901855,0.000191187925520353,20260811
resnet50_no_weights,CIFAR10,qat,layer2.0.downsample.0,"(512, 256, 1, 1)",27.60266137945241,0.0002105915937763398,20260811
resnet50_no_weights,CIFAR10,qat,layer2.1.conv1,"(128, 512, 1, 1)",5.319504027896457,8.116918987879115e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.1.conv2,"(128, 128, 3, 3)",9.058694511651993,6.143320388218854e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.1.conv3,"(512, 128, 1, 1)",6.455242609977722,9.849918533291201e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.2.conv1,"(128, 512, 1, 1)",8.014642009368309,0.00012229373183240218,20260811
resnet50_no_weights,CIFAR10,qat,layer2.2.conv2,"(128, 128, 3, 3)",6.840440946466782,4.638970910961088e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.2.conv3,"(512, 128, 1, 1)",5.018138527870178,7.657071728317533e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.3.conv1,"(128, 512, 1, 1)",18.082168022791546,0.0002759119876524589,20260811
resnet50_no_weights,CIFAR10,qat,layer2.3.conv2,"(128, 128, 3, 3)",11.973699441770227,8.120184625766484e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.3.conv3,"(512, 128, 1, 1)",7.746560903695913,0.00011820313878930532,20260811
resnet50_no_weights,CIFAR10,qat,layer3.0.conv1,"(256, 512, 1, 1)",38.08450484857327,0.000290561713017069,20260811
resnet50_no_weights,CIFAR10,qat,layer3.0.conv2,"(256, 256, 3, 3)",15.698262512683868,2.6615164036532708e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.0.conv3,"(1024, 256, 1, 1)",10.136062693595886,3.86660106414638e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.0.downsample.0,"(1024, 512, 1, 1)",24.020069864061142,4.581464741527775e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.1.conv1,"(256, 1024, 1, 1)",4.710486302008996,1.7969079216037735e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.1.conv2,"(256, 256, 3, 3)",4.202286473026982,7.124644763568424e-06,20260811
resnet50_no_weights,CIFAR10,qat,layer3.1.conv3,"(1024, 256, 1, 1)",5.465839385986328,2.0850522560067475e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.2.conv1,"(256, 1024, 1, 1)",6.1166113758087155,2.3333020690188276e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.2.conv2,"(256, 256, 3, 3)",6.001419816698347,1.0174933228723053e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.2.conv3,"(1024, 256, 1, 1)",5.800334061895098,2.212651848562278e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.3.conv1,"(256, 1024, 1, 1)",13.623267749260211,5.196864223198018e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.3.conv2,"(256, 256, 3, 3)",9.714862808104485,1.6470782484443637e-05,20260811
