model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.0.conv1,layer4.0.conv1,"(512, 1024, 1, 1)",1.1502934944416796
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.0.conv2,layer4.0.conv2,"(512, 512, 3, 3)",0.14670254891687953
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.0.conv3,layer4.0.conv3,"(2048, 512, 1, 1)",1.2103668611783247
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.0.downsample.0,layer4.0.downsample.0,"(2048, 1024, 1, 1)",47.27669021061489
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.1.conv1,layer4.1.conv1,"(512, 2048, 1, 1)",1.2872486520320812
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.1.conv2,layer4.1.conv2,"(512, 512, 3, 3)",2.03424298349354
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.1.conv3,layer4.1.conv3,"(2048, 512, 1, 1)",100.33597485224406
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.2.conv1,layer4.2.conv1,"(512, 2048, 1, 1)",0.10019406799057667
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.2.conv2,layer4.2.conv2,"(512, 512, 3, 3)",0.3668072105944157
resnet50_no_weights,CIFAR10,ptq,20260811,layer4.2.conv3,layer4.2.conv3,"(2048, 512, 1, 1)",0.20271013205756946
resnet50_no_weights,CIFAR10,ptq,20260811,fc,fc,"(10, 2048)",22.256666636761324
resnet50_no_weights,CIFAR10,fp32_fused,20260811,conv1,conv1,"(64, 3, 3, 3)",199.42232942581177
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.0.conv1,layer1.0.conv1,"(64, 64, 1, 1)",4.119198007403679
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.0.conv2,layer1.0.conv2,"(64, 64, 3, 3)",5.676793399610017
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.0.conv3,layer1.0.conv3,"(256, 64, 1, 1)",2.8312233115235963
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.0.downsample.0,layer1.0.downsample.0,"(256, 64, 1, 1)",7.336417825598466
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.1.conv1,layer1.1.conv1,"(64, 256, 1, 1)",7.2381736896932125
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.1.conv2,layer1.1.conv2,"(64, 64, 3, 3)",5.3156028111775715
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.1.conv3,layer1.1.conv3,"(256, 64, 1, 1)",2.378356546163559
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.2.conv1,layer1.2.conv1,"(64, 256, 1, 1)",13.241928988489612
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.2.conv2,layer1.2.conv2,"(64, 64, 3, 3)",20.28659699757894
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer1.2.conv3,layer1.2.conv3,"(256, 64, 1, 1)",5.273372845990317
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.0.conv1,layer2.0.conv1,"(128, 256, 1, 1)",47.43791105482313
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.0.conv2,layer2.0.conv2,"(128, 128, 3, 3)",63.338786421151
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.0.conv3,layer2.0.conv3,"(512, 128, 1, 1)",27.927258265220512
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.0.downsample.0,layer2.0.downsample.0,"(512, 256, 1, 1)",42.85469264984131
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.1.conv1,layer2.1.conv1,"(128, 512, 1, 1)",8.108606398105621
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.1.conv2,layer2.1.conv2,"(128, 128, 3, 3)",8.048514014796206
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",7.570580800374349
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",12.021532270643446
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",6.223443450598881
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",6.151539007822673
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",12.101656556129456
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",14.325508282102387
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",8.721873082220554
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",81.71074030134413
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",61.93182945251465
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",32.267927710215254
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",32.43814561583779
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",17.84913522005081
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",19.131382378664885
resnet50_no_weights,CIFAR10,fp32_fused,20260811,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",12.07648687362671
