model,dataset,variant,layer,per_param_residual,matched_count_ratio
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.3.conv1,-0.2089756079353693,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.3.conv2,-0.08289123604505066,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.3.conv3,0.03752721391045366,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.4.conv1,-0.07532896043718873,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.4.conv2,-0.02484068075561119,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.4.conv3,-0.05444058875082325,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.5.conv1,0.08019427559158476,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.5.conv2,0.04109909458820793,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.5.conv3,0.05282363349938679,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.0.conv1,0.604761400358564,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.0.conv2,0.33421495426585945,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.0.conv3,0.42707518137727263,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.0.downsample.0,0.24681383575597282,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.1.conv1,0.11870375287096468,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.1.conv2,0.1741458938042557,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.1.conv3,0.23496764182250818,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.2.conv1,0.4959736657832412,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.2.conv2,0.24430379861225582,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,layer4.2.conv3,-0.3183794701834337,1.0
resnet50_no_weights,IMAGENET100,fp32_unfused,fc,-0.6639557821917812,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,conv1,2.6474538427781993,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.0.conv1,0.6271120974322488,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.0.conv2,0.6240417530127225,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.0.conv3,0.6105836433849947,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.0.downsample.0,0.732505525415466,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.1.conv1,-0.22747879229803525,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.1.conv2,-0.9118329298337864,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.1.conv3,-0.5528376797056516,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.2.conv1,-1.0270605513679891,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.2.conv2,-1.52164685683917,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer1.2.conv3,-0.8964804949815246,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.0.conv1,-0.20077845916647163,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.0.conv2,-0.11786086376668337,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.0.conv3,0.17680482632550332,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.0.downsample.0,0.2997641648554552,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.1.conv1,-0.09007757608810874,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.1.conv2,-0.37441798731779175,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.1.conv3,-0.16869629150734866,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.2.conv1,-0.4512368646763747,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.2.conv2,-0.6021396330191293,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.2.conv3,-0.28178987492344243,1.0
resnet50_no_weights,IMAGENET100,fp32_fused,layer2.3.conv1,-0.10553267518591758,1.0
