model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",8.313890048435756,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.1.conv3,layer2.1.conv3,"(512, 128, 1, 1)",8.082224969778366,aggregate,3,0.23831289972895814
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",4.386729505327013,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",4.858444011002256,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",3.236308553002097,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.2.conv1,layer2.2.conv1,"(128, 512, 1, 1)",4.160494023110456,aggregate,3,0.8343966269620613
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",6.583579321702321,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",8.172801831189323,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",8.61640505168749,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.2.conv2,layer2.2.conv2,"(128, 128, 3, 3)",7.790928734859712,aggregate,3,1.0688617349300646
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",7.712771415710449,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",6.930860711682227,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",6.862128893534343,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",7.168587006975673,aggregate,3,0.47252885492739166
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",4.860019604365031,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",6.653579305719446,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",5.567266325796804,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",5.69362174529376,aggregate,3,0.9034314415647837
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",15.876106103261312,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",15.820520973205566,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",11.409021556377411,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",14.36854954428143,aggregate,3,2.5631771027498735
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",11.226499021053314,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",8.738721397187975,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",8.389199357032776,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",9.451473258424688,aggregate,3,1.5471195033464815
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",46.078123507292375,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",36.772964707736314,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",47.430091519509595,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",43.427059911512764,aggregate,3,5.802128196808925
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",40.40036573410034,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",39.68683609595666,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",37.64895813281719,44,3,
