model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed
resnet50_no_weights,CIFAR10,ptq,layer1.0.downsample.0,"(256, 64, 1, 1)",2.2230717404931783,0.0001356855310359606,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv1,"(64, 256, 1, 1)",15.435183883373496,0.0009420888600691831,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv2,"(64, 64, 3, 3)",4.784410607879576,0.00012978544400714997,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv3,"(256, 64, 1, 1)",1.267412007500728,7.735668991093311e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv1,"(64, 256, 1, 1)",15.502956990003586,0.0009462254022218986,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv2,"(64, 64, 3, 3)",1.1585172986662067,3.142679304107548e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv3,"(256, 64, 1, 1)",0.8062367925109962,4.9208788605407484e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv1,"(128, 256, 1, 1)",9.380168679222631,0.0002862600304938547,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv2,"(128, 128, 3, 3)",2.3896925735104944,1.6206139957075294e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv3,"(512, 128, 1, 1)",0.6040314613896258,9.216788656457914e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.0.downsample.0,"(512, 256, 1, 1)",0.7204647933443388,5.49671015429946e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv1,"(128, 512, 1, 1)",0.7165603386591884,1.093384305815412e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv2,"(128, 128, 3, 3)",0.21097152258476448,1.430742205029056e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv3,"(512, 128, 1, 1)",0.7056878360195292,1.0767941833794086e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv1,"(128, 512, 1, 1)",1.366345900684022,2.0848783884949065e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv2,"(128, 128, 3, 3)",0.13430774880525392,9.108327148793804e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv3,"(512, 128, 1, 1)",0.3326840453216287,5.076355672021922e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv1,"(128, 512, 1, 1)",0.5248352615710568,8.008350548874767e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv2,"(128, 128, 3, 3)",0.1700866762548685,1.1534740956954515e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv3,"(512, 128, 1, 1)",0.1984006106973656,3.0273530685022825e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv1,"(256, 512, 1, 1)",0.4718301464210857,3.599778338783918e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv2,"(256, 256, 3, 3)",0.5058516781581076,8.576315615473558e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv3,"(1024, 256, 1, 1)",0.6760532997548581,2.5789386739916155e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.0.downsample.0,"(1024, 512, 1, 1)",1.8674588567680783,3.5618950972901885e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv1,"(256, 1024, 1, 1)",0.12453847600424543,4.7507658387849973e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv2,"(256, 256, 3, 3)",0.1756244214872519,2.9775733352195213e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv3,"(1024, 256, 1, 1)",0.6795259045832085,2.59218561013492e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv1,"(256, 1024, 1, 1)",0.15691017698157916,5.985648230803649e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv2,"(256, 256, 3, 3)",0.14034887584971217,2.3795043241663983e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv3,"(1024, 256, 1, 1)",0.7586416123168809,2.893988084094547e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv1,"(256, 1024, 1, 1)",0.1311262886111553,5.002070946165287e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv2,"(256, 256, 3, 3)",0.23688208037301114,4.0161485523310536e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv3,"(1024, 256, 1, 1)",1.490889385342598,5.687291661615745e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv1,"(256, 1024, 1, 1)",0.06489836790219501,2.475676265800286e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv2,"(256, 256, 3, 3)",0.10467321060451806,1.7746516012321993e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv3,"(1024, 256, 1, 1)",1.0245273934220367,3.908261846244952e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv1,"(256, 1024, 1, 1)",0.04881594574756243,1.8621805476212474e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv2,"(256, 256, 3, 3)",0.03738222785759717,6.337861439615406e-08,20260811
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv3,"(1024, 256, 1, 1)",0.30635226517915726,1.168641148296956e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv1,"(512, 1024, 1, 1)",1.178737411275506,2.248263189841282e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv2,"(512, 512, 3, 3)",0.13688314977017316,5.8018641904268545e-08,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv3,"(2048, 512, 1, 1)",0.9754663588745254,9.302772129769567e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.0.downsample.0,"(2048, 1024, 1, 1)",64.03252461491799,3.0533087069949145e-05,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv1,"(512, 2048, 1, 1)",1.6594202942275382,1.5825465147281058e-06,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv2,"(512, 512, 3, 3)",1.9136067181825638,8.11092257259184e-07,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv3,"(2048, 512, 1, 1)",136.24257910592215,0.00012993104849426474,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv1,"(512, 2048, 1, 1)",0.09588913086336107,9.144700132690531e-08,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv2,"(512, 512, 3, 3)",0.225921149945484,9.575786588265483e-08,20260811
resnet50_no_weights,CIFAR10,ptq,layer4.2.conv3,"(2048, 512, 1, 1)",0.15877568450472926,1.514202923819821e-07,20260811
resnet50_no_weights,CIFAR10,ptq,fc,"(10, 2048)",19.432838659537467,0.0009488690751727278,20260811
resnet50_no_weights,CIFAR10,qat,conv1,"(64, 3, 3, 3)",92.89079856872559,0.053756249171716196,20260811
resnet50_no_weights,CIFAR10,qat,layer1.0.conv1,"(64, 64, 1, 1)",1.1373575213162794,0.0002776751761026073,20260811
resnet50_no_weights,CIFAR10,qat,layer1.0.conv2,"(64, 64, 3, 3)",2.5660478757775347,6.960850357469441e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer1.0.conv3,"(256, 64, 1, 1)",1.0215107177694638,6.234806627010887e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer1.0.downsample.0,"(256, 64, 1, 1)",2.9818984324281868,0.00018200063674488445,20260811
resnet50_no_weights,CIFAR10,qat,layer1.1.conv1,"(64, 256, 1, 1)",2.0548055211702985,0.00012541537604799185,20260811
resnet50_no_weights,CIFAR10,qat,layer1.1.conv2,"(64, 64, 3, 3)",1.8356806554577567,4.979602472487404e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer1.1.conv3,"(256, 64, 1, 1)",0.7415994798595255,4.5263640128144864e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer1.2.conv1,"(64, 256, 1, 1)",4.534009741412269,0.0002767339930061199,20260811
resnet50_no_weights,CIFAR10,qat,layer1.2.conv2,"(64, 64, 3, 3)",4.613033472105514,0.00012513654166952892,20260811
resnet50_no_weights,CIFAR10,qat,layer1.2.conv3,"(256, 64, 1, 1)",2.096139500538508,0.0001279382019371648,20260811
resnet50_no_weights,CIFAR10,qat,layer2.0.conv1,"(128, 256, 1, 1)",6.008703708648682,0.00018337108485866338,20260811
resnet50_no_weights,CIFAR10,qat,layer2.0.conv2,"(128, 128, 3, 3)",21.419027614593507,0.00014525707746441995,20260811
resnet50_no_weights,CIFAR10,qat,layer2.0.conv3,"(512, 128, 1, 1)",9.835256576538086,0.00015007410547696054,20260811
resnet50_no_weights,CIFAR10,qat,layer2.0.downsample.0,"(512, 256, 1, 1)",17.490755694253103,0.00013344387584116442,20260811
resnet50_no_weights,CIFAR10,qat,layer2.1.conv1,"(128, 512, 1, 1)",2.2082041194362025,3.369452086542057e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.1.conv2,"(128, 128, 3, 3)",2.318249008655548,1.5721632274410997e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.1.conv3,"(512, 128, 1, 1)",2.49091594086753,3.800836091411636e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.2.conv1,"(128, 512, 1, 1)",3.5285093698304952,5.384078017929833e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.2.conv2,"(128, 128, 3, 3)",2.7102091312408447,1.8379781977273524e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.2.conv3,"(512, 128, 1, 1)",3.301237318250868,5.0372883884443174e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.3.conv1,"(128, 512, 1, 1)",5.130221438407898,7.828096677258145e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.3.conv2,"(128, 128, 3, 3)",5.375736448499891,3.645654601033455e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer2.3.conv3,"(512, 128, 1, 1)",3.9330513198324977,6.0013600461311305e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.0.conv1,"(256, 512, 1, 1)",35.97903189659119,0.0002744982291915221,20260811
resnet50_no_weights,CIFAR10,qat,layer3.0.conv2,"(256, 256, 3, 3)",33.44933835197897,5.6710710910337614e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.0.conv3,"(1024, 256, 1, 1)",17.202409744262695,6.562198541359976e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.0.downsample.0,"(1024, 512, 1, 1)",22.432702401105097,4.278698425503749e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.1.conv1,"(256, 1024, 1, 1)",7.606634725223888,2.9017008686919738e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.1.conv2,"(256, 256, 3, 3)",10.438140551249186,1.7697042764026532e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.1.conv3,"(1024, 256, 1, 1)",7.946595379800508,3.0313855666353255e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.2.conv1,"(256, 1024, 1, 1)",13.588634852705331,5.18365282161916e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.2.conv2,"(256, 256, 3, 3)",8.823765563964844,1.495999749749899e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.2.conv3,"(1024, 256, 1, 1)",8.300734193701492,3.166478803139302e-05,20260811
resnet50_no_weights,CIFAR10,qat,layer3.3.conv1,"(256, 1024, 1, 1)",26.83842034773393,0.00010238044871419498,20260811
