model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3,-173.0734100341797,204.38475036621094,377.4581604003906,1.480228066444397,117,0.02094699814915657,3.401268482208252,65.12421417236328,3108.999853279001,18019.677937269927
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,-81.84884643554688,82.09917449951172,163.9480209350586,0.6429334282875061,127,0.2557421326637268,3.7532434463500977,27.870010375976562,108.97699994010219,641.0677006069723
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1,-54.29488754272461,71.11144256591797,125.40633010864258,0.4917895197868347,110,0.16630572080612183,1.299271583557129,17.409420013427734,104.68322995168354,754.0710536039858
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2,-28.255952835083008,37.39591979980469,65.6518726348877,0.25745832920074463,110,0.227594792842865,1.3804019689559937,8.04966926574707,35.36842458124553,288.45946699762493
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3,-22.94931983947754,21.629844665527344,44.57916450500488,0.17482024431228638,131,0.04123356193304062,0.10056965053081512,4.728785037994385,114.6829140221619,1081.1378502152495
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1,-104.3327407836914,157.138671875,261.4714126586914,1.0253781080245972,102,0.24318565428256989,1.253737211227417,35.66654968261719,146.66387204392572,1075.1925866271467
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2,-77.68695831298828,121.63396453857422,199.3209228515625,0.7816506624221802,99,0.20866228640079498,1.8214695453643799,27.00234603881836,129.40693071364467,955.2321422794641
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3,-67.93933868408203,25.90550994873047,93.8448486328125,0.3680190145969391,185,0.0,0.01221329253166914,5.831847190856934,inf,inf
resnet50_no_weights,CIFAR10,PTQ,fc,-28.772472381591797,65.03076171875,93.8032341003418,0.36785584688186646,78,2.8744876384735107,4.74639368057251,7.894331932067871,2.746344018463108,32.633027481083815
resnet50_no_weights,CIFAR10,QAT,conv1,-3.757086992263794,5.673535346984863,9.430622339248657,0.03698283061385155,102,1.1018869876861572,1.8319041728973389,3.64874005317688,3.3113559684000236,8.558611222963926
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1,-1.6504751443862915,3.5924975872039795,5.242972731590271,0.020560678094625473,80,0.5146259069442749,0.8981349468231201,3.867603063583374,7.515367981663171,10.187930030032465
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2,-3.822434186935425,5.187313556671143,9.009747743606567,0.035332344472408295,108,0.5677310228347778,1.060896396636963,4.6200947761535645,8.137823353539222,15.869747083080576
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,-3.83247971534729,3.061746835708618,6.894226551055908,0.027036182582378387,142,0.5130090713500977,1.0365073680877686,2.312612295150757,4.507936456298136,13.438800473668458
resnet50_no_weights,CIFAR10,QAT,layer1.0.downsample.0,-4.143433094024658,3.9129393100738525,8.05637240409851,0.03159361705183983,131,0.6420289278030396,1.104871153831482,3.2572214603424072,5.073325078183474,12.548301260609287
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv1,-3.6350932121276855,2.527611017227173,6.162704229354858,0.024167468771338463,150,0.4930325746536255,0.7708261013031006,1.8600507974624634,3.772673233141281,12.499588356173824
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv2,-1.473968267440796,2.8404054641723633,4.314373731613159,0.01691911369562149,87,0.47983434796333313,0.8212540149688721,1.7884334325790405,3.7271892689009936,8.991381608935685
resnet50_no_weights,CIFAR10,QAT,layer1.1.conv3,-6.485410213470459,4.157614231109619,10.643024444580078,0.041737351566553116,155,0.3313106298446655,0.7037294507026672,3.0753793716430664,9.282465138788192,32.12400534679507
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv1,-2.390465497970581,2.4722654819488525,4.862730979919434,0.019069533795118332,125,0.5547645092010498,0.9482367038726807,2.017805814743042,3.637229457322364,8.765396666997585
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv2,-2.436474323272705,2.8476169109344482,5.284091234207153,0.020721925422549248,118,0.5898787379264832,1.098883032798767,2.563131809234619,4.345184263200318,8.957927951059174
resnet50_no_weights,CIFAR10,QAT,layer1.2.conv3,-3.6125710010528564,5.441657066345215,9.054228067398071,0.035506777465343475,102,0.26978975534439087,0.617529571056366,2.4834742546081543,9.2052207521296,33.56031090150257
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv1,-2.326606273651123,2.7027125358581543,5.029318809509277,0.019722819328308105,118,0.6404365301132202,1.2096984386444092,2.7722349166870117,4.32866456914461,7.852954310117451
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv2,-3.3428478240966797,3.2750327587127686,6.617880582809448,0.025952473282814026,129,0.5901069641113281,1.1306639909744263,3.2318766117095947,5.476764058490041,11.214713577860666
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3,-5.809420585632324,6.657217979431152,12.466638565063477,0.04888878017663956,119,0.5746040344238281,1.0245146751403809,2.9919350147247314,5.2069509357427854,21.696051225195678
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0,-1.8751250505447388,2.9645800590515137,4.839705109596252,0.018979234620928764,99,0.5298003554344177,0.9045432209968567,2.421205759048462,4.570034229333723,9.134960103278647
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1,-1.6792405843734741,2.5376334190368652,4.216874003410339,0.016536761075258255,102,0.4423953890800476,0.7443687319755554,1.431260585784912,3.235252041756561,9.531912193251483
