model,dataset,stage,layer,trace
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,7.599945342901981
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3.weight,5.693531289696693
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1.weight,9.249681132180351
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2.weight,7.709196844100952
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3.weight,6.114893215673941
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1.weight,22.640834313851816
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2.weight,14.608375479958275
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3.weight,8.666889190673828
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1.weight,28.411259867928244
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2.weight,10.197985728581747
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3.weight,8.970944702625275
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1.weight,22.639412378009997
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2.weight,4.435404939651489
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3.weight,4.380026851381574
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,26.188121530744766
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,8.309277534484863
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3.weight,6.350637594858806
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,52.98683420817057
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,20.37580736945657
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,54.19021253232603
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3.weight,15.213810744108978
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1.weight,23.551600138346355
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2.weight,7.929142288539721
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3.weight,4.685463322533502
resnet50_no_weights,CIFAR10,QAT,fc.weight,4.51448903823721
