model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1,15.385145902633669,0.6129791140556335,9.353319001093041e-06,9.430773105013047,80.56,80.48,0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2,13.29299546347724,1.1950883865356445,8.104711822751495e-06,15.886304500672656,80.56,80.42,0.14000000000000057
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3,7.677442818153195,1.0184910297393799,1.5540939784841612e-05,7.819406641626054,80.56,80.45,0.10999999999999943
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1,29.064296581706063,0.6349867582321167,9.689129001344554e-06,18.455443466714325,80.56,80.52,0.04000000000000625
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2,17.27966994505662,1.406627893447876,9.539305918022163e-06,24.30606573428957,80.56,80.6,-0.03999999999999204
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3,9.392936592102052,0.7985683679580688,1.2185186278657056e-05,7.50090204468856,80.56,80.44,0.12000000000000455
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1,64.48343374562818,1.1553090810775757,8.814308785076719e-06,74.49829658538842,80.56,80.66,-0.09999999999999432
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2,22.71619954109192,3.394153594970703,5.754519305709336e-06,77.10227033646898,80.56,80.83,-0.269999999999996
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3,16.064909594399587,2.4795455932617188,9.458715794607997e-06,39.833675790941406,80.56,80.7,-0.14000000000000057
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0,34.26122084530917,3.7964367866516113,7.241128514579032e-06,130.07055917272675,80.56,80.71,-0.14999999999999147
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1,6.467492173699772,1.502410650253296,5.731241799367126e-06,9.716829122196376,80.56,80.55,0.010000000000005116
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2,6.44866941525386,3.4501187801361084,5.8494038562963e-06,22.24867545645668,80.56,80.67,-0.10999999999999943
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3,5.535460543632508,1.7463637590408325,6.66184905639966e-06,9.666927683000278,80.56,80.53,0.030000000000001137
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1,7.361612569718134,1.5020999908447266,5.730056727770716e-06,11.057878173576032,80.56,80.5,0.060000000000002274
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2,5.7673515906700725,3.865156412124634,6.553067376242123e-06,22.29171598165564,80.56,80.57,-0.009999999999990905
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3,6.126178413629532,1.7313040494918823,6.604400823562173e-06,10.606277495426564,80.56,80.42,0.14000000000000057
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1,22.297637358955715,1.4368258714675903,5.4810557230666745e-06,32.037822229949846,80.56,80.49,0.07000000000000739
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2,14.470772399902344,3.8485891819000244,6.524978946092435e-06,55.69205811200162,80.56,80.46,0.10000000000000853
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3,10.73534597669329,1.8233706951141357,6.955607204872649e-06,19.574515255813985,80.56,80.45,0.10999999999999943
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1,19.055760561033736,1.3184945583343506,5.029657586419489e-06,25.124916604645314,80.56,80.64,-0.0799999999999983
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2,9.17020650620156,3.714571475982666,6.297762512177643e-06,34.06338751680697,80.56,80.47,0.09000000000000341
