model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",12.543652161307957,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",14.167850891749064,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.2.conv3,layer2.2.conv3,"(512, 128, 1, 1)",13.384230047800306,aggregate,3,0.8135960038699244
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",13.69414734840393,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",10.168313932418823,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",11.87595914999644,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.3.conv1,layer2.3.conv1,"(128, 512, 1, 1)",11.912806810273064,aggregate,3,1.7632054990471757
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",19.410501130421956,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",18.308385308583578,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",15.998992681503296,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.3.conv2,layer2.3.conv2,"(128, 128, 3, 3)",17.905959706836278,aggregate,3,1.74099317861016
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",7.82500049273173,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",7.067875691254934,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",8.36670876344045,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer2.3.conv3,layer2.3.conv3,"(512, 128, 1, 1)",7.753194982475705,aggregate,3,0.6523870483294885
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",58.79516529083252,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",61.683573722839355,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",43.727497191656205,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.0.conv1,layer3.0.conv1,"(256, 512, 1, 1)",54.73541206844269,aggregate,3,9.641906879266934
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",46.36393140157064,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",33.98968920500382,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",44.888098843892415,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.0.conv2,layer3.0.conv2,"(256, 256, 3, 3)",41.747239816822294,aggregate,3,6.758639956068795
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",40.71445159912109,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",31.284727626376682,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",40.86318639119466,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.0.conv3,layer3.0.conv3,"(1024, 256, 1, 1)",37.62078853889748,aggregate,3,5.487693634394478
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",56.41232446034749,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",67.91895484924316,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",66.03058030870226,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",63.45395320609764,aggregate,3,6.170890628270108
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",6.651789999008178,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",5.581962649027506,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",6.947875756483811,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",6.393876134839832,aggregate,3,0.7185536342388932
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",13.67457234064738,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",15.062592776616414,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",13.043091583251954,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",13.92675223350525,aggregate,3,1.033098393799678
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",11.254845288064745,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,43,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",14.106562894933363,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,44,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",13.391118049621582,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,"42,43,44",layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",12.917508744206563,aggregate,3,1.4836787583445725
resnet50_no_weights,IMAGENET100,fp32_unfused,42,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",4.430002053578694,42,3,
