model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,IMAGENET100,random,44,3,layer3.3.conv3.weight,3.4098148345947266
resnet50_no_weights,IMAGENET100,random,44,3,layer3.4.conv1.weight,1.0143682268949656
resnet50_no_weights,IMAGENET100,random,44,3,layer3.4.conv2.weight,7.369614696502685
resnet50_no_weights,IMAGENET100,random,44,3,layer3.4.conv3.weight,2.8464549581209817
resnet50_no_weights,IMAGENET100,random,44,3,layer3.5.conv1.weight,0.9887517631053925
resnet50_no_weights,IMAGENET100,random,44,3,layer3.5.conv2.weight,7.373449516296387
resnet50_no_weights,IMAGENET100,random,44,3,layer3.5.conv3.weight,3.339114189147949
resnet50_no_weights,IMAGENET100,random,44,3,layer4.0.conv1.weight,3.6673378785451254
resnet50_no_weights,IMAGENET100,random,44,3,layer4.0.conv2.weight,30.651602063860214
resnet50_no_weights,IMAGENET100,random,44,3,layer4.0.conv3.weight,14.635778665542603
resnet50_no_weights,IMAGENET100,random,44,3,layer4.0.downsample.0.weight,27.381582260131836
resnet50_no_weights,IMAGENET100,random,44,3,layer4.1.conv1.weight,3.095548981711978
resnet50_no_weights,IMAGENET100,random,44,3,layer4.1.conv2.weight,29.8491701398577
resnet50_no_weights,IMAGENET100,random,44,3,layer4.1.conv3.weight,17.227553367614746
resnet50_no_weights,IMAGENET100,random,44,3,layer4.2.conv1.weight,3.237451493740082
resnet50_no_weights,IMAGENET100,random,44,3,layer4.2.conv2.weight,37.047448794047035
resnet50_no_weights,IMAGENET100,random,44,3,layer4.2.conv3.weight,18.954563988579643
resnet50_no_weights,IMAGENET100,random,44,3,fc.weight,559.071034150965
cnn,IMAGENET100,random,42,3,conv1.weight,0.3795890282643469
cnn,IMAGENET100,random,42,3,conv2.weight,3.55709661756243
cnn,IMAGENET100,random,42,3,conv3.weight,4.732373158137004
cnn,IMAGENET100,random,42,3,conv4.weight,9.591936462803892
cnn,IMAGENET100,random,42,3,fc1.weight,10.292727189905504
cnn,IMAGENET100,random,42,3,fc2.weight,10.443178126686497
cnn,IMAGENET100,random,43,3,conv1.weight,0.29928105430943625
cnn,IMAGENET100,random,43,3,conv2.weight,3.4015852894101823
cnn,IMAGENET100,random,43,3,conv3.weight,4.946467220783234
cnn,IMAGENET100,random,43,3,conv4.weight,9.928199311961299
cnn,IMAGENET100,random,43,3,fc1.weight,8.400338649749756
cnn,IMAGENET100,random,43,3,fc2.weight,8.584979160972264
cnn,IMAGENET100,random,44,3,conv1.weight,0.4226652576642878
cnn,IMAGENET100,random,44,3,conv2.weight,4.3694589233398435
cnn,IMAGENET100,random,44,3,conv3.weight,5.58136659860611
cnn,IMAGENET100,random,44,3,conv4.weight,9.96299352645874
cnn,IMAGENET100,random,44,3,fc1.weight,9.142995357513428
cnn,IMAGENET100,random,44,3,fc2.weight,9.34752090771993
