model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param
resnet50_no_weights,CIFAR10,fp32_fused,fc,38.2760009765625,4.029350748169236e-05,0.018689453601837158,4.029350748169236e-06,7.530636385343677e-08,0.0002867645409423858
resnet50_no_weights,CIFAR10,ptq,conv1,39.735809326171875,1.1814239542218274e-06,1.4716966417100694,2.0510832538573394e-09,3.0185723365696083e-09,0.6621304755485682
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv1,4.866584300994873,2.1765025337572297e-07,0.07604037970304489,3.4007852089956714e-09,2.5859699858052973e-10,0.0028249120300274256
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv2,12.137614250183105,6.316331990774415e-08,0.021072246962123446,1.0965854150650027e-10,2.3107518681312383e-12,0.0006631178518087588
resnet50_no_weights,CIFAR10,ptq,layer1.0.conv3,1.4931745529174805,7.195161799700145e-08,0.023330852389335632,2.810610078007869e-10,6.55739288539807e-12,0.00034950444810100123
resnet50_no_weights,CIFAR10,ptq,layer1.0.downsample.0,4.866584300994873,4.2399275201887576e-08,0.07604037970304489,1.6562216875737334e-10,1.2593972599552448e-11,0.0001356855310359606
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv1,11.653640747070312,5.910909450790314e-08,0.04552203416824341,9.235796016859865e-10,4.2043222185042116e-11,0.0009420888600691831
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv2,9.270949363708496,1.865847387705344e-08,0.016095398200882807,3.239318381432889e-11,5.213811924860152e-13,0.00012978544400714997
resnet50_no_weights,CIFAR10,ptq,layer1.1.conv3,1.1204017400741577,1.8893357989213655e-08,0.017506277188658714,7.380217964536584e-11,1.2920014139989605e-12,7.735668991093311e-05
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv1,14.27250862121582,3.184039698567176e-08,0.0557519868016243,4.975062029011212e-10,2.773695925786953e-11,0.0009462254022218986
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv2,11.005860328674316,6.567103305599176e-09,0.019107396403948467,1.1401221016665235e-11,2.17847649454451e-13,3.142679304107548e-05
resnet50_no_weights,CIFAR10,ptq,layer1.2.conv3,1.2423609495162964,1.1349206907595999e-08,0.01941188983619213,4.433283948279687e-11,8.605841961656418e-13,4.9208788605407484e-05
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv1,19.753925323486328,1.672833427335263e-08,0.07716377079486847,1.3069011151056742e-10,1.0084541809757226e-11,0.0002862600304938547
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv2,21.634309768676758,6.587975320826445e-08,0.018779782785309687,5.7187285771062885e-11,1.0739648048619923e-12,1.6206139957075294e-05
resnet50_no_weights,CIFAR10,ptq,layer2.0.conv3,3.0011420249938965,5.6805955495065064e-08,0.023446422070264816,1.1094913182629895e-10,2.6013601731288563e-12,9.216788656457914e-06
resnet50_no_weights,CIFAR10,ptq,layer2.0.downsample.0,19.709257125854492,1.0295861940790019e-08,0.07698928564786911,2.0109105353105505e-11,1.5481856561533336e-12,5.49671015429946e-06
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv1,24.40774917602539,1.053221332369958e-08,0.04767138510942459,8.228291659140297e-11,3.922540604755433e-12,1.093384305815412e-05
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv2,15.4268798828125,2.7664588397868783e-09,0.013391388787163628,2.4014399650927765e-12,3.215861622159002e-14,1.430742205029056e-06
resnet50_no_weights,CIFAR10,ptq,layer2.1.conv3,1.8912142515182495,1.535232740934589e-08,0.014775111339986324,2.998501447137869e-11,4.4303192734572133e-13,1.0767941833794086e-05
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv1,30.916990280151367,2.599169324213335e-09,0.06038474664092064,2.030601034541668e-11,1.2261732899958997e-12,2.0848783884949065e-05
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv2,13.15881633758545,1.3351583172394044e-09,0.011422583626376258,1.1589915948258718e-12,1.323867841416571e-14,9.108327148793804e-07
resnet50_no_weights,CIFAR10,ptq,layer2.2.conv3,1.7923380136489868,1.4822305161033e-08,0.01400264073163271,2.894981476764258e-11,4.053738554386141e-13,5.076355672021922e-06
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv1,35.69825744628906,1.373343327948362e-09,0.06972315907478333,1.0729244749596578e-11,7.48076838428406e-13,8.008350548874767e-06
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv2,19.67727279663086,1.32134680974616e-09,0.01708096596929762,1.1470024390157639e-12,1.9591909627529635e-14,1.1534740956954515e-06
resnet50_no_weights,CIFAR10,ptq,layer2.3.conv3,3.0578534603118896,1.7056308365681616e-08,0.023889480158686638,3.3313102276721906e-11,7.958326958640466e-13,3.0273530685022825e-06
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv1,44.8417854309082,1.5161821798059805e-09,0.08758161216974258,5.922586639867111e-12,5.187096861345402e-13,3.599778338783918e-06
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv2,30.279226303100586,2.4173118617909495e-08,0.013142025305165185,1.0491804955689885e-11,1.3788356622453396e-13,8.576315615473558e-07
resnet50_no_weights,CIFAR10,ptq,layer3.0.conv3,4.617216110229492,1.9753611013584305e-07,0.018036000430583954,1.9290635755453422e-10,3.4792591479159614e-12,2.5789386739916155e-06
resnet50_no_weights,CIFAR10,ptq,layer3.0.downsample.0,44.044227600097656,3.0637789194543075e-08,0.08602388203144073,2.991971601029597e-11,2.5738101204839093e-12,3.5618950972901885e-06
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv1,47.64274215698242,3.1765687857898683e-09,0.046526115387678146,1.2408471819491673e-11,5.773179916584222e-13,4.7507658387849973e-07
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv2,32.723873138427734,1.3388610220488317e-08,0.014203069938553704,5.811028741531388e-12,8.253444763091601e-14,2.9775733352195213e-07
resnet50_no_weights,CIFAR10,ptq,layer3.1.conv3,6.967771053314209,3.603056484280387e-07,0.02721785567700863,3.5186098479300654e-10,9.57690150246618e-12,2.59218561013492e-06
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv1,80.89796447753906,2.5628150712719844e-09,0.07900191843509674,1.0010996372156189e-11,7.908879188471326e-13,5.985648230803649e-07
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv2,36.662479400634766,1.4050002050680632e-08,0.01591253446208106,6.098091167830135e-12,9.703608586100916e-14,2.3795043241663983e-07
resnet50_no_weights,CIFAR10,ptq,layer3.2.conv3,8.293950080871582,5.770466486865189e-07,0.03239824250340462,5.635221178579286e-10,1.825712623039333e-11,2.893988084094547e-06
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv1,112.92375946044922,3.184797536803785e-09,0.11027710884809494,1.2440615378139785e-11,1.371915096192405e-12,5.002070946165287e-07
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv2,34.97718048095703,3.2548758355233076e-08,0.015181067917082045,1.412706525834769e-11,2.1446393715602648e-13,4.0161485523310536e-07
resnet50_no_weights,CIFAR10,ptq,layer3.3.conv3,7.024739742279053,7.394361318802112e-07,0.02744038961827755,7.221055975392687e-10,1.9814858942016656e-11,5.687291661615745e-06
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv1,142.35208129882812,1.1326453108750911e-09,0.13901570439338684,4.424395745605825e-12,6.150604910904977e-13,2.475676265800286e-07
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv2,36.972782135009766,2.0442298520606528e-08,0.01604721446832021,8.872525399568806e-12,1.423793179624991e-13,1.7746516012321993e-07
resnet50_no_weights,CIFAR10,ptq,layer3.4.conv3,11.477005004882812,9.474696867073362e-07,0.044832050800323486,9.25263365925133e-10,4.148145422483386e-11,3.908261846244952e-06
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv1,218.27915954589844,4.11474937456191e-10,0.21316324174404144,1.6073239744382462e-12,3.4262238892417335e-13,1.8621805476212474e-07
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv2,62.324981689453125,2.0998922600767855e-09,0.02705077330271403,9.114115712138826e-13,2.4654387798377143e-14,6.337861439615406e-08
resnet50_no_weights,CIFAR10,ptq,layer3.5.conv3,31.825668334960938,6.074333214201033e-07,0.12431901693344116,5.931966029493196e-10,7.374561852691624e-11,1.168641148296956e-06
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv1,345.308349609375,2.1590853549469102e-09,0.3372151851654053,4.216963583880684e-12,1.422024155774096e-12,2.248263189841282e-06
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv2,155.7136993408203,1.1005735878200085e-08,0.03379203544722663,2.3883975430121712e-12,8.070881443553628e-14,5.8018641904268545e-08
resnet50_no_weights,CIFAR10,ptq,layer4.0.conv3,108.7067642211914,4.555010946205584e-06,0.21231789886951447,2.2241264385769455e-09,4.722218522587933e-10,9.302772129769567e-07
resnet50_no_weights,CIFAR10,ptq,layer4.0.downsample.0,279.6781921386719,1.632612907087605e-06,0.27312323451042175,7.971742710388696e-10,2.177268153746237e-10,3.0533087069949145e-05
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv1,104.46446990966797,4.0088995234555114e-08,0.05100804194808006,7.829881881749046e-11,3.993869434727674e-12,1.5825465147281058e-06
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv2,47.901851654052734,8.803282071312424e-06,0.010395367112424638,1.910434477281342e-09,1.9859667735572617e-11,8.11092257259184e-07
resnet50_no_weights,CIFAR10,ptq,layer4.1.conv3,6.12777042388916,7.141991954995319e-05,0.011968301609158516,3.487300759275058e-08,4.1737067288851394e-10,0.00012993104849426474
