model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,-2.148871421813965,2.2549848556518555,4.40385627746582,0.017270024865865707,124,0.46423184871673584,0.7988767027854919,2.122448444366455,4.571957848720386,9.48632949169534,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,-2.857996940612793,4.271207809448242,7.129204750061035,0.02795766480267048,102,0.46150505542755127,0.8041871190071106,3.8141119480133057,8.264507404972639,15.447728396943212,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,-1.7662436962127686,2.0620040893554688,3.8282477855682373,0.015012736432254314,118,0.4816129207611084,0.7943299412727356,1.8029404878616333,3.743546757450752,7.948806231191502,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,-2.221353054046631,3.029755115509033,5.251108169555664,0.0205925814807415,108,0.5561137199401855,0.9248315095901489,2.224034309387207,3.9992437331458386,9.442507856343596,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,-1.4591569900512695,1.8843601942062378,3.3435171842575073,0.013111832551658154,111,0.354481041431427,0.6177197098731995,1.4026726484298706,3.956975083253394,9.432146697482263,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,-2.061915636062622,2.1325125694274902,4.194428205490112,0.016448739916086197,125,0.3749985098838806,0.6735919117927551,2.0514285564422607,5.470497888318254,11.185186327244152,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,-1.9749188423156738,2.3099498748779297,4.2848687171936035,0.016803406178951263,118,0.39772313833236694,0.7431414127349854,3.276017904281616,8.236930639785742,10.773496194261773,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,-1.5108805894851685,1.9338736534118652,3.4447542428970337,0.013508839532732964,112,0.3679875135421753,0.6504908800125122,1.7568495273590088,4.774209620451306,9.361062851667189,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,-1.9911167621612549,2.9393489360809326,4.9304656982421875,0.01933516003191471,103,0.42510977387428284,0.8106393218040466,2.2990550994873047,5.408144532962917,11.598100070266245,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,-1.730907917022705,1.9465829133987427,3.6774908304214478,0.014421531930565834,120,0.397616446018219,0.7098470330238342,1.7676751613616943,4.445679194267278,9.248839848674024,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,-1.4418481588363647,2.135125160217285,3.57697331905365,0.014027346856892109,103,0.399865984916687,0.7748362421989441,2.663551092147827,6.661109453215392,8.94543035411957,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,-1.6483802795410156,3.47411847114563,5.1224987506866455,0.020088229328393936,82,0.9887217879295349,1.788797378540039,4.747028350830078,4.801177043716967,5.18093038226009,43,3,
resnet18_no_weights,CIFAR10,PTQ,fc,-5.745562553405762,16.031757354736328,21.77731990814209,0.0854012593626976,67,12.308059692382812,16.315088272094727,16.81865692138672,1.3664750855730263,1.7693544272960908,43,3,
resnet18_no_weights,CIFAR10,PTQ,conv1,-3.6338045597076416,4.784788131713867,8.418592691421509,0.03301408886909485,110,0.9696835279464722,1.5645824670791626,3.8221254348754883,3.9416214927046536,8.68179405836646,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,-5.668947696685791,3.96222186088562,9.631169557571411,0.037769291549921036,150,0.718734860420227,1.1770515441894531,2.950409412384033,4.10500391014706,13.400170338113693,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,-5.055909156799316,4.219723701477051,9.275632858276367,0.036375030875205994,139,0.8074992299079895,1.429054617881775,3.6923351287841797,4.572555603805223,11.486862791600778,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.983292102813721,3.6435205936431885,8.62681269645691,0.033830638974905014,147,0.6845270395278931,1.3527461290359497,3.673652172088623,5.3667013280034634,12.602588646325321,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,-4.112923622131348,3.0338993072509766,7.146822929382324,0.028026755899190903,147,0.6792657971382141,1.1299463510513306,2.7080776691436768,3.9867717181594653,10.52139377470837,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.089714288711548,2.0637571811676025,4.15347146987915,0.01628812402486801,128,0.5051770806312561,0.8119208216667175,1.8841242790222168,3.7296313535599523,8.221812962474626,44,3,
