model,dataset,init,seed,n_seeds,layer,hessian_trace
resnet50_no_weights,CIFAR10,random,42,3,layer3.2.conv3.weight,4287.187890915644
resnet50_no_weights,CIFAR10,random,42,3,layer3.3.conv1.weight,1609.1976100376673
resnet50_no_weights,CIFAR10,random,42,3,layer3.3.conv2.weight,7637.965339006696
resnet50_no_weights,CIFAR10,random,42,3,layer3.3.conv3.weight,2697.581601350204
resnet50_no_weights,CIFAR10,random,42,3,layer3.4.conv1.weight,997.1060509314904
resnet50_no_weights,CIFAR10,random,42,3,layer3.4.conv2.weight,12253.047802153087
resnet50_no_weights,CIFAR10,random,42,3,layer3.4.conv3.weight,5613.108901515152
resnet50_no_weights,CIFAR10,random,42,3,layer3.5.conv1.weight,1483.397548720416
resnet50_no_weights,CIFAR10,random,42,3,layer3.5.conv2.weight,16417.48928687686
resnet50_no_weights,CIFAR10,random,42,3,layer3.5.conv3.weight,7156.896285843063
resnet50_no_weights,CIFAR10,random,42,3,layer4.0.conv1.weight,3630.765097604671
resnet50_no_weights,CIFAR10,random,42,3,layer4.0.conv2.weight,32314.82391764323
resnet50_no_weights,CIFAR10,random,42,3,layer4.0.conv3.weight,14781.276029625718
resnet50_no_weights,CIFAR10,random,42,3,layer4.0.downsample.0.weight,26357.093592150457
resnet50_no_weights,CIFAR10,random,42,3,layer4.1.conv1.weight,6921.2609815809465
resnet50_no_weights,CIFAR10,random,42,3,layer4.1.conv2.weight,62181.71718139648
resnet50_no_weights,CIFAR10,random,42,3,layer4.1.conv3.weight,22214.0400390625
resnet50_no_weights,CIFAR10,random,42,3,layer4.2.conv1.weight,7621.557421875
resnet50_no_weights,CIFAR10,random,42,3,layer4.2.conv2.weight,68137.55906110491
resnet50_no_weights,CIFAR10,random,42,3,layer4.2.conv3.weight,47487.11545602899
resnet50_no_weights,CIFAR10,random,42,3,fc.weight,742153.4424525669
resnet50_no_weights,CIFAR10,random,43,3,conv1.weight,86.28402646382649
resnet50_no_weights,CIFAR10,random,43,3,layer1.0.conv1.weight,19.81006205709357
resnet50_no_weights,CIFAR10,random,43,3,layer1.0.conv2.weight,177.1344178852282
resnet50_no_weights,CIFAR10,random,43,3,layer1.0.conv3.weight,100.50892172919379
resnet50_no_weights,CIFAR10,random,43,3,layer1.0.downsample.0.weight,75.7340751224094
resnet50_no_weights,CIFAR10,random,43,3,layer1.1.conv1.weight,29.086806694666546
resnet50_no_weights,CIFAR10,random,43,3,layer1.1.conv2.weight,331.61216337784475
resnet50_no_weights,CIFAR10,random,43,3,layer1.1.conv3.weight,148.1697716346154
resnet50_no_weights,CIFAR10,random,43,3,layer1.2.conv1.weight,41.96311289923532
resnet50_no_weights,CIFAR10,random,43,3,layer1.2.conv2.weight,337.537841796875
resnet50_no_weights,CIFAR10,random,43,3,layer1.2.conv3.weight,107.8665402730306
