model,dataset,variant,canonical_layer,weight_shape,trace_raw,trace_per_param,probe_seed,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.0.downsample.0,"(1024, 512, 1, 1)",280.1371796308245,0.0005343192665688028,"42,43,44",aggregate,3,25.591478001705386
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv1,"(256, 1024, 1, 1)",12.925479084253311,4.9306789719594235e-05,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv1,"(256, 1024, 1, 1)",10.893251061439514,4.1554455037839944e-05,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv1,"(256, 1024, 1, 1)",11.70934460957845,4.4667604864419745e-05,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv1,"(256, 1024, 1, 1)",11.842691585090424,4.517628320728464e-05,"42,43,44",aggregate,3,1.0226552430247753
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv2,"(256, 256, 3, 3)",69.12342027028402,0.00011719329879808895,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv2,"(256, 256, 3, 3)",69.7203966140747,0.00011820542503200056,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv2,"(256, 256, 3, 3)",70.162751243228,0.00011895540236278618,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv2,"(256, 256, 3, 3)",69.6688560425289,0.00011811804206429189,"42,43,44",aggregate,3,0.5215788921310215
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv3,"(1024, 256, 1, 1)",49.6696925844465,0.0001894748404863224,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv3,"(1024, 256, 1, 1)",51.9299950281779,0.00019809721003791008,43,43,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv3,"(1024, 256, 1, 1)",57.86392962137858,0.00022073337410499032,44,44,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.1.conv3,"(1024, 256, 1, 1)",53.154539078000994,0.0002027684748764076,"42,43,44",aggregate,3,4.232140268448721
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.2.conv1,"(256, 1024, 1, 1)",35.927053451538086,0.00013705083256354555,42,42,3,
resnet50_no_weights,IMAGENET100,fp32_unfused,layer3.2.conv1,"(256, 1024, 1, 1)",37.49661931991577,0.00014303825118986425,43,43,3,
