model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet50_no_weights,IMAGENET100,ptq,layer3.0.downsample.0,14.364041328430176,8.851365419104695e-05,0.028054768219590187,8.643911542094429e-08,2.425029348240996e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.downsample.0,13.025198936462402,6.560519977938384e-05,0.02543984167277813,6.406757790955453e-08,1.6298690383774448e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.0.downsample.0,13.738743782043457,8.113793107137705e-05,0.026833483949303627,7.923626081189165e-08,2.1261849326987305e-09,0.0005090804910963411,aggregate,3,0.6737695652029841
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv1,13.532734870910645,2.2579310098080896e-05,0.013215561397373676,8.82004300706285e-08,1.1656181988731544e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv1,13.950831413269043,1.6869262253749184e-05,0.01362385880202055,6.589555567870775e-08,8.977517462473978e-10,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv1,12.56905460357666,1.5405903468490578e-05,0.012274467386305332,6.017931042379132e-08,7.386689831271711e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv1,13.350873629252115,1.828482527344022e-05,0.013037962528566519,7.142509872437586e-08,9.312377607675767e-10,8.571820418269757e-05,aggregate,3,0.7086126737252878
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv2,9.354233741760254,1.4240576092561241e-05,0.00405999728375011,6.180805595729705e-09,2.5094053930050084e-11,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv2,9.581756591796875,1.2999777936784085e-05,0.004158748520745171,5.642264729506981e-09,2.346476009748981e-11,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv2,8.650458335876465,1.0831841791514307e-05,0.003754539208279716,4.701320222011418e-09,1.7651291104220166e-11,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv2,9.195482889811197,1.2690731940286545e-05,0.0039910950042583325,5.508130182416035e-09,2.1983470853845175e-11,3.257233635903943e-05,aggregate,3,0.48552083901312904
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv3,1.6569963693618774,0.0003264629340264946,0.006472642067819834,3.1881145901024865e-07,2.063552461292754e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv3,1.9227240085601807,0.0003089668171014637,0.007510640658438206,3.017254073256481e-07,2.2661511119438416e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv3,1.5584689378738403,0.00025200529489666224,0.006087769288569689,2.460989207975217e-07,1.498193451981297e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.1.conv3,1.712729771931966,0.00029581168200820684,0.0066903506716092425,2.888785957111395e-07,1.932699106829557e-09,0.00037897509335178055,aggregate,3,0.18841469754694662
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv1,12.653790473937988,2.4742990717641078e-05,0.012357217259705067,9.665230749078546e-08,1.1943535623154554e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv1,13.224793434143066,2.200117705797311e-05,0.012914837338030338,8.594209788270746e-08,1.1099282146442484e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv1,11.904962539672852,1.1999909474980086e-05,0.011625939980149269,4.687464638664096e-08,5.449618254818086e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv1,12.594515482584635,1.9581359083531424e-05,0.012299331525961557,7.648968392004463e-08,9.407719808486397e-10,9.949376135409693e-05,aggregate,3,0.6619090125912072
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv2,7.951701641082764,2.6876616175286472e-05,0.0034512593928310606,1.1665197992745865e-08,4.02596241416982e-11,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv2,8.525813102722168,2.5814963009906933e-05,0.0037004397147231633,1.120441102860544e-08,4.1461247550333777e-11,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv2,7.321732521057129,1.5623567378497683e-05,0.003177835295597712,6.78106223025073e-09,2.1549098896935308e-11,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv2,7.9330824216206866,2.2771715521230362e-05,0.0034431781343839786,9.883557083867345e-09,3.403084764110792e-11,4.1210099372597424e-05,aggregate,3,0.602256189910687
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv3,0.9746209979057312,0.0006085908971726894,0.0038071132730692625,5.943270480202045e-07,2.2626703930617936e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv3,1.1714541912078857,0.0006245416007004678,0.004575992934405804,6.099039069340506e-07,2.7909159687967104e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv3,0.9605855941772461,0.0004231873608659953,0.0037522874772548676,4.132689070956985e-07,1.5507037448339948e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.2.conv3,1.0355535944302876,0.0005521066195797175,0.004045131228243311,5.391666206833179e-07,2.180999734552505e-09,0.00032956024329976966,aggregate,3,0.11790240579748942
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv1,11.531450271606445,2.0257879441487603e-05,0.01126118190586567,7.913234156831095e-08,8.91123693037845e-10,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv1,12.103144645690918,1.843521931732539e-05,0.011819477193057537,7.201257545830231e-08,8.51150993242739e-10,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv1,11.062189102172852,1.4094749531068373e-05,0.010802919045090675,5.5057615355735834e-08,5.947829615037555e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv1,11.565594673156738,1.7595949429960456e-05,0.011294526048004627,6.873417746078303e-08,7.763199577189865e-10,9.338778112477384e-05,aggregate,3,0.5213170733950395
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv2,8.209015846252441,3.5674936953000724e-05,0.003562940905491511,1.548391360807323e-08,5.516826917130076e-11,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv2,8.690630912780762,3.2499097869731486e-05,0.0037719752225610944,1.4105511228182069e-08,5.3205638854260075e-11,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv2,7.963496685028076,2.5106679458986036e-05,0.003456378769543436,1.089699629296269e-08,3.766414663878977e-11,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv2,8.28771448135376,3.109357142723942e-05,0.0035970982991986806,1.349547370973933e-08,4.854454552818385e-11,6.797935846242518e-05,aggregate,3,0.3699001928459641
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv3,1.0430712699890137,0.000884036417119205,0.004074497148394585,8.633168135929736e-07,3.5175818951456703e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv3,1.223836898803711,0.0008160611614584923,0.004780612885951996,7.969347279868089e-07,3.809836429876387e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv3,1.0106005668640137,0.0006169337430037558,0.003947658464312553,6.024743584021053e-07,2.378363000477346e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.3.conv3,1.0925029118855794,0.0007723437738604844,0.004267589499553044,7.542419666606293e-07,3.218795097043139e-09,0.0005100551649971463,aggregate,3,0.11489146500161326
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv1,11.544480323791504,1.7768699763109908e-05,0.01127390656620264,6.940898344964808e-08,7.825103942664379e-10,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv1,11.991122245788574,1.5861314750509337e-05,0.011710080318152905,6.19582607441771e-08,7.255362096873739e-10,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv1,10.80510425567627,1.0371662938268855e-05,0.010551859624683857,4.0514308352612716e-08,4.2750129452792606e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv1,11.44690227508545,1.4667225817296034e-05,0.011178615503013134,5.729385084881263e-08,6.404659293258591e-10,7.372418254521794e-05,aggregate,3,0.5989998121113801
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv2,6.91372537612915,3.0141743991407566e-05,0.003000748861167166,1.3082354162937312e-08,3.9256859355819674e-11,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv2,7.159616470336914,2.60200395132415e-05,0.0031074724263615077,1.1293419927622178e-08,3.509399102440749e-11,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv2,6.608168125152588,1.9025745132239535e-05,0.0028681285265419218,8.257701880312299e-09,2.368415032660257e-11,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv2,6.893836657206218,2.5062509545629535e-05,0.0029921166046901985,1.087782532362393e-08,3.254772177373469e-11,3.8000493619087556e-05,aggregate,3,0.2762616336137349
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv3,0.7300962805747986,0.0012228142004460096,0.002851938595995307,1.1941544926230563e-06,3.4056552870928873e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv3,0.917436420917511,0.0011128985788673162,0.0035837360192090273,1.0868150184251135e-06,3.894858127747402e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv3,0.7864300608634949,0.0008496843511238694,0.003071992425248027,8.297698741444037e-07,2.549046768070617e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.4.conv3,0.8113209207852682,0.0010617990434790652,0.003169222346817454,1.0369131283975246e-06,3.286208258225831e-09,0.0004493573884246871,aggregate,3,0.09611840732472006
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv1,11.001256942749023,2.4586219296907075e-05,0.010743414983153343,9.603991912854326e-08,1.031796706146427e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv1,11.298880577087402,1.916584005812183e-05,0.011034063063561916,7.48665627270384e-08,8.260823744822557e-10,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv1,10.273289680480957,1.515129679319216e-05,0.010032509453594685,5.918475309840687e-08,5.937715949684342e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv1,10.857809066772461,1.963445204940702e-05,0.010603329166769981,7.669707831799617e-08,8.132443675352503e-10,0.00011503360084993617,aggregate,3,0.5276287915212204
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv2,7.810061931610107,3.598981493269093e-05,0.0033897838244835534,1.5620579397869328e-08,5.295038737195849e-11,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv2,7.779512405395508,2.93154880637303e-05,0.003376524481508467,1.2723736138771832e-08,4.29620065688171e-11,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv2,7.515721797943115,2.3270124074770138e-05,0.0032620320303572547,1.009988024078565e-08,3.2946132848215134e-11,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv2,7.701765378316243,2.952514235706379e-05,0.003342780112116425,1.2814731925808937e-08,4.283683102369753e-11,5.3024351646057277e-05,aggregate,3,0.161840905634279
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv3,1.108038067817688,0.0008937513339333236,0.004328273702412844,8.728040370442613e-07,3.777734760898442e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv3,1.3507152795791626,0.0007995206979103386,0.005276231560856104,7.807819315530651e-07,4.119586269406472e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv3,1.2114440202713013,0.0006315902573987842,0.004732203204184771,6.167873607410002e-07,2.918763124799229e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer3.5.conv3,1.2233991225560505,0.0007749540964141488,0.0047789028224845724,7.567911097794422e-07,3.616631170556208e-09,0.0005425127069139036,aggregate,3,0.12177951646340206
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv1,10.191240310668945,7.546380948042497e-05,0.009952383115887642,1.4739025289145502e-07,1.4668842643233266e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv1,10.342852592468262,7.578402437502518e-05,0.010100441984832287,1.4801567260747106e-07,1.495023714017691e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv1,9.44870376586914,6.141219637356699e-05,0.009227249771356583,1.1994569604212302e-07,1.1067688963798858e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv1,9.99426555633545,7.088667674300571e-05,0.009760024957358837,1.3845054051368302e-07,1.3512807307733672e-09,0.00037643746020168896,aggregate,3,0.47851313609001594
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv2,13.837586402893066,0.00045775037142448127,0.0030029484381278357,9.933818824316e-08,2.9830745723124625e-10,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv2,12.792536735534668,0.00047033841838128865,0.0027761581457323497,1.0206996926677272e-07,2.833623766146017e-10,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv2,13.008260726928711,0.00036247490788809955,0.0028229732480314043,7.866208938543826e-08,2.220609739693473e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv2,13.212794621785482,0.0004301878992312898,0.002867359943963863,9.335674896512367e-08,2.6768740248128544e-10,7.360342691447432e-05,aggregate,3,0.5517316262644686
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv3,2.6094799041748047,0.007605197373777628,0.005096640437841415,3.7134752801648574e-06,1.892624827781269e-08,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv3,2.476064920425415,0.007844512350857258,0.004836064297705889,3.8303282963170204e-06,1.8523713922311365e-08,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv3,2.4820668697357178,0.005788008216768503,0.004847786854952574,2.8261758870939957e-06,1.3700698315238202e-08,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.conv3,2.5225372314453125,0.007079239313801129,0.004926830530166626,3.4566598211919577e-06,1.7030377139448846e-08,0.0006565653686670379,aggregate,3,0.07535434363652535
resnet50_no_weights,IMAGENET100,ptq,layer4.0.downsample.0,9.963282585144043,0.0004979702644050121,0.00972976814955473,2.4314954316650983e-07,2.36578868068029e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.downsample.0,10.013782501220703,0.0005159565480425954,0.009779084473848343,2.5193190822392353e-07,2.4636634121795562e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.downsample.0,9.181197166442871,0.00037477948353625834,0.008966012857854366,1.8299779469543864e-07,1.6407605801982964e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.0.downsample.0,9.719420750935873,0.0004629020986612886,0.009491621827085813,2.2602641536195733e-07,2.1453572575475186e-09,8.040927136577471e-05,aggregate,3,0.4667987045390214
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv1,7.569674491882324,0.00022136079496704042,0.003696130122989416,4.323453026700008e-07,1.5980044967315665e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv1,7.221591472625732,0.00026082288241013885,0.0035261677112430334,5.094196922073024e-07,1.7962992701327542e-09,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv1,7.109139919281006,0.00014361778448801488,0.0034712597262114286,2.8050348532815406e-07,9.737004516815595e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv1,7.3001352945963545,0.00020860048728839806,0.003564519186814626,4.0742282673515245e-07,1.4522664830437019e-09,5.261652471970925e-05,aggregate,3,0.24010387776457148
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv2,11.364946365356445,0.0003649649443104863,0.0024663512077596453,7.92024618729354e-08,1.9534108749785148e-10,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv2,10.800756454467773,0.0004036623577121645,0.0023439141611258187,8.76003380451746e-08,2.0532767286349356e-10,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv2,11.319215774536133,0.0002562912995927036,0.0024564270344045428,5.561877161299991e-08,1.3662345421054492e-10,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv2,11.161639531453451,0.0003416395338717848,0.002422230801096669,7.41405238437033e-08,1.7958546046366016e-10,5.949636709827679e-05,aggregate,3,0.3133692202102518
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv3,1.0342603921890259,0.011073225177824497,0.002020039828494191,5.406848231359618e-06,1.0922048773969803e-08,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv3,0.9651834964752197,0.011699722148478031,0.0018851240165531635,5.712754955311539e-06,1.0769251566940876e-08,,43,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv3,1.1184020042419434,0.008577900938689709,0.0021843789145350456,4.188428192719584e-06,9.149114229220789e-09,,44,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.1.conv3,1.039281964302063,0.010450282754997412,0.0020298475865274668,5.10267712646358e-06,1.0357656849981008e-08,0.0003584780398962302,aggregate,3,0.0767325870828699
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv1,4.512435436248779,0.0003432160592637956,0.0022033376153558493,6.703438657496008e-07,1.476993854629147e-09,,42,3,
resnet50_no_weights,IMAGENET100,ptq,layer4.2.conv1,4.443134307861328,0.0003476961865089834,0.002169499173760414,6.790941142753582e-07,1.4732941198259498e-09,,43,3,
