model,dataset,stage,layer,calib_min,calib_max,range_width,scale,zero_point,act_p99,act_p999,act_max,outlier_factor,range_over_p99,seed,n_seeds,metric_std
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,-1.4418481588363647,2.135125160217285,3.57697331905365,0.014027346856892109,103,0.39971640706062317,0.7756810188293457,2.6599442958831787,6.6545787185557215,8.948777823150868,43,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,-1.6483802795410156,3.47411847114563,5.1224987506866455,0.020088229328393936,82,0.9892862439155579,1.7898640632629395,4.7417683601379395,4.79312068605159,5.177974304395447,43,3,
resnet18_no_weights,CIFAR10,PTQ,fc,-5.745562553405762,16.031757354736328,21.77731990814209,0.0854012593626976,67,12.308059692382812,16.31382942199707,16.81517219543457,1.366191960040713,1.7693544272960908,43,3,
resnet18_no_weights,CIFAR10,PTQ,conv1,-3.6338045597076416,4.784788131713867,8.418592691421509,0.03301408886909485,110,0.9696836471557617,1.564582347869873,3.8221254348754883,3.941621008136414,8.68179299105909,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,-5.668947696685791,3.96222186088562,9.631169557571411,0.037769291549921036,150,0.7187351584434509,1.177051067352295,2.9504103660583496,4.105003534887578,13.400164781738834,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,-5.055909156799316,4.219723701477051,9.275632858276367,0.036375030875205994,139,0.8074990510940552,1.4290544986724854,3.692333698272705,4.57255484482623,11.4868653352708,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.983292102813721,3.6435205936431885,8.62681269645691,0.033830638974905014,147,0.6845271587371826,1.3527463674545288,3.673652410507202,5.366700741697912,12.602586451605038,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,-4.112923622131348,3.0338993072509766,7.146822929382324,0.028026755899190903,147,0.6792684197425842,1.1299357414245605,2.708078145980835,3.9867570275195323,10.521353152396937,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.089714288711548,2.0637571811676025,4.15347146987915,0.01628812402486801,128,0.5051770210266113,0.8119208216667175,1.884124755859375,3.7296327375114804,8.221813932546938,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,-2.5791499614715576,3.134150981903076,5.713300943374634,0.022405100986361504,115,0.629041850566864,1.0467944145202637,2.8953304290771484,4.602762799435376,9.082545045653267,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.3921070098876953,4.91558313369751,7.307690143585205,0.02865760773420334,83,0.6367640495300293,1.164610505104065,4.539729118347168,7.129374093430314,11.47629196242898,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv1,-2.148871421813965,2.2549848556518555,4.40385627746582,0.017270024865865707,124,0.46783447265625,0.8094131350517273,2.253936290740967,4.8178071999347685,9.413278701891716,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer2.1.conv2,-2.857996940612793,4.271207809448242,7.129204750061035,0.02795766480267048,102,0.4683109521865845,0.8134120106697083,3.512022018432617,7.499337784082737,15.223228747425528,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv1,-1.7662436962127686,2.0620040893554688,3.8282477855682373,0.015012736432254314,118,0.4893690347671509,0.7980804443359375,1.9523403644561768,3.9895053134801013,7.822823909137968,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.conv2,-2.221353054046631,3.029755115509033,5.251108169555664,0.0205925814807415,108,0.5699096322059631,0.9339044690132141,2.365565538406372,4.150773043175143,9.213931249468573,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,-1.4591569900512695,1.8843601942062378,3.3435171842575073,0.013111832551658154,111,0.3617703914642334,0.6184862852096558,1.8742530345916748,5.180780624433644,9.242097372106434,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv1,-2.061915636062622,2.1325125694274902,4.194428205490112,0.016448739916086197,125,0.38128912448883057,0.6719530820846558,1.7352328300476074,4.550963346709458,11.000649995232118,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer3.1.conv2,-1.9749188423156738,2.3099498748779297,4.2848687171936035,0.016803406178951263,118,0.389166921377182,0.6772581338882446,1.6909338235855103,4.345009122567873,11.010362088407541,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv1,-1.5108805894851685,1.9338736534118652,3.4447542428970337,0.013508839532732964,112,0.36277109384536743,0.6232817769050598,1.7837274074554443,4.9169502138330925,9.495669035762186,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.conv2,-1.9911167621612549,2.9393489360809326,4.9304656982421875,0.01933516003191471,103,0.39897048473358154,0.7134605646133423,1.9993197917938232,5.011197239637661,12.357971045238044,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,-1.730907917022705,1.9465829133987427,3.6774908304214478,0.014421531930565834,120,0.40025219321250916,0.6935856938362122,1.6972723007202148,4.240507183977049,9.187934239423212,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv1,-1.4418481588363647,2.135125160217285,3.57697331905365,0.014027346856892109,103,0.3656763434410095,0.6860765218734741,1.7708067893981934,4.842552221822514,9.781801265551877,44,3,
resnet18_no_weights,CIFAR10,PTQ,layer4.1.conv2,-1.6483802795410156,3.47411847114563,5.1224987506866455,0.020088229328393936,82,0.9065371751785278,1.53508722782135,3.1210546493530273,3.442831397111085,5.650621828804596,44,3,
resnet18_no_weights,CIFAR10,PTQ,fc,-5.745562553405762,16.031757354736328,21.77731990814209,0.0854012593626976,67,12.63614559173584,13.62698745727539,13.66445541381836,1.0813784404917781,1.7234147667928632,44,3,
resnet18_no_weights,CIFAR10,PTQ,conv1,-3.6338045597076416,4.784788131713867,8.418592691421509,0.03301408886909485,110,0.9610231320063273,1.5312472581863403,3.496384779612223,3.6361551162998884,8.760516072607313,aggregate,3,0.33791319708681034
resnet18_no_weights,CIFAR10,PTQ,fc,-5.745562553405762,16.031757354736328,21.77731990814209,0.0854012593626976,67,12.348222096761068,15.293388684590658,15.988533655802408,1.2975457030285567,1.7641597101719928,aggregate,3,0.19131523863171385
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv1,-5.668947696685791,3.96222186088562,9.631169557571411,0.037769291549921036,150,0.7141581773757935,1.1859567165374756,2.989098866780599,4.185050950302649,13.486430970896325,aggregate,3,0.30644265389745323
resnet18_no_weights,CIFAR10,PTQ,layer1.0.conv2,-5.055909156799316,4.219723701477051,9.275632858276367,0.036375030875205994,139,0.8048859437306722,1.4318359692891438,3.7948714892069497,4.713457763469545,11.52617751453733,aggregate,3,0.1913557178100388
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv1,-4.983292102813721,3.6435205936431885,8.62681269645691,0.033830638974905014,147,0.6781279643376669,1.3450706799825032,3.505565325419108,5.169249343271153,12.725420329365619,aggregate,3,0.17924297826066227
resnet18_no_weights,CIFAR10,PTQ,layer1.1.conv2,-4.112923622131348,3.0338993072509766,7.146822929382324,0.028026755899190903,147,0.6775702436765035,1.131631334622701,2.709787925084432,3.999838054009987,10.547868602284023,aggregate,3,0.20627095326015235
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv1,-2.089714288711548,2.0637571811676025,4.15347146987915,0.01628812402486801,128,0.499126672744751,0.8068347175916036,1.772602876027425,3.55041683920325,8.322181363207209,aggregate,3,0.1589497259921926
resnet18_no_weights,CIFAR10,PTQ,layer2.0.conv2,-2.5791499614715576,3.134150981903076,5.713300943374634,0.022405100986361504,115,0.6185273130734762,1.0242997805277507,2.8273571332295737,4.57089913186499,9.2382659438978,aggregate,3,0.38719702884007784
resnet18_no_weights,CIFAR10,PTQ,layer2.0.downsample.0,-2.3921070098876953,4.91558313369751,7.307690143585205,0.02865760773420334,83,0.6313953002293905,1.15920356909434,4.273391405741374,6.766728562308081,11.574297439621672,aggregate,3,0.35701621266077027
