model,dataset,variant,layer,tr_A,tr_G,A_per_infan,G_per_outfan,predicted_per_param,measured_per_param,seed,n_seeds,metric_std
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,86.1572036743164,1.943735014720005e-06,0.07478923930062188,8.436349890277799e-10,6.309481907677615e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,88.48332977294922,6.273523354138888e-07,0.07680844598346287,2.7228834002338925e-10,2.0914044256613266e-11,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv1,86.4087142944336,1.1420778302332717e-06,0.07500756449169584,4.95693502705413e-10,3.718076237229087e-11,0.0002722655280504504,aggregate,3,1.960994428911558
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,23.62106704711914,4.010961220046738e-06,0.010252199239201017,1.74086858508973e-09,1.7847731583605882e-11,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,24.270492553710938,8.74486067914404e-06,0.010534067948659262,3.795512447545156e-09,3.99821860224227e-11,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,24.87540054321289,2.9560981147369603e-06,0.010796614819102816,1.2830286956323613e-09,1.385236662859851e-11,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.conv2,24.255653381347656,5.237306671309246e-06,0.010527627335654365,2.2731365760890826e-09,2.3930734756111195e-11,0.00017249776434586812,aggregate,3,0.6272983983982525
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,10.350268363952637,2.7072389912063954e-06,0.08086147159337997,1.0575152309399982e-08,8.551223780622133e-10,,42,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,10.528170585632324,5.9179760683036875e-06,0.08225133270025253,2.311709401681128e-08,1.9014117910397618e-09,,43,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,10.868841171264648,1.9743090433621546e-06,0.08491282165050507,7.712144700633417e-09,6.548599675077731e-10,,44,3,
resnet18_no_weights,CIFAR10,fp32_unfused,layer3.0.downsample.0,10.58242670694987,3.5331747009574124e-06,0.08267520864804585,1.3801463675614892e-08,1.141038889029887e-09,0.0011206473764826706,aggregate,3,0.2635094574131702
