model,dataset,variant,probe_seed,canonical_layer,quantized_layer,weight_shape,hessian_trace,seed,n_seeds,metric_std
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",41.356351640489365,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.0.downsample.0,layer3.0.downsample.0,"(1024, 512, 1, 1)",38.483151665917624,aggregate,3,2.643457326357342
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",7.970239734649658,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",8.049430102836794,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",7.392206859588623,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.1.conv1,layer3.1.conv1,"(256, 1024, 1, 1)",7.803958899025025,aggregate,3,0.3587792985784307
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",20.474387380811905,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",20.035703533574154,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",20.27177345051485,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.1.conv2,layer3.1.conv2,"(256, 256, 3, 3)",20.26062145496697,aggregate,3,0.21955444589065742
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",13.554689327875773,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",13.959311443826426,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",14.630587935447693,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.1.conv3,layer3.1.conv3,"(1024, 256, 1, 1)",14.048196235716631,aggregate,3,0.5434287746483646
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",11.310809135437012,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",11.785375640505837,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",11.303696177222513,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.2.conv1,layer3.2.conv1,"(256, 1024, 1, 1)",11.466626984388453,aggregate,3,0.2760673430091264
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",23.507926904238186,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",26.549128490945566,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",24.49372381322524,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.2.conv2,layer3.2.conv2,"(256, 256, 3, 3)",24.85025973613633,aggregate,3,1.551633065834967
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",13.734152533791281,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",13.517136414845785,43,3,
resnet50_no_weights,CIFAR10,fp32_unfused,44,layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",12.505676322513157,44,3,
resnet50_no_weights,CIFAR10,fp32_unfused,"42,43,44",layer3.2.conv3,layer3.2.conv3,"(1024, 256, 1, 1)",13.252321757050074,aggregate,3,0.6556550561512191
resnet50_no_weights,CIFAR10,fp32_unfused,42,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",16.69755539141203,42,3,
resnet50_no_weights,CIFAR10,fp32_unfused,43,layer3.3.conv1,layer3.3.conv1,"(256, 1024, 1, 1)",17.621856530507404,43,3,
