model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts,abs_weight_damage_pts
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv1,9.255477092773363,0.6133673191070557,9.359242540085688e-06,5.677007171451163,80.56,80.45,0.10999999999999943,0.10999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv2,6.691759852522774,1.1959712505340576,8.110699127428234e-06,8.003152399095264,80.56,80.62,-0.060000000000002274,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer2.2.conv3,7.367651856387103,1.020018219947815,1.5564242858090438e-05,7.515139131747187,80.56,80.7,-0.14000000000000057,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv1,13.021287948010016,0.6363118886947632,9.70934888755437e-06,8.285600327436612,80.56,80.49,0.07000000000000739,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv2,13.751406000577486,1.4045984745025635,9.525543039975068e-06,19.315203890676536,80.56,80.69,-0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer2.3.conv3,8.470146490239548,0.7974762916564941,1.2168522516731173e-05,6.754741012823504,80.56,80.69,-0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv1,94.44683262218128,1.155250072479248,8.813858585199341e-06,109.10971023221033,80.56,80.57,-0.009999999999990905,0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv2,74.37530188671239,3.3941941261291504,5.7545880230868025e-06,252.4442127929615,80.56,80.78,-0.21999999999999886,0.21999999999999886
resnet50_no_weights,CIFAR10,PTQ,layer3.0.conv3,29.61415140931816,2.4758782386779785,9.444725947105326e-06,73.32103303124562,80.56,80.69,-0.12999999999999545,0.12999999999999545
resnet50_no_weights,CIFAR10,PTQ,layer3.0.downsample.0,36.882653094510445,3.7950565814971924,7.23849598216475e-06,139.97175536939966,80.56,80.7,-0.14000000000000057,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv1,15.15612875987322,1.5029432773590088,5.733273610530887e-06,22.778801830438987,80.56,80.7,-0.14000000000000057,0.14000000000000057
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv2,20.413016459801337,3.449777126312256,5.848824609226237e-06,70.42035726205823,80.56,80.62,-0.060000000000002274,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer3.1.conv3,13.595674606101223,1.7438921928405762,6.652420779573731e-06,23.7093908019808,80.56,80.56,0.0,0.0
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv1,26.589114814620835,1.5016052722930908,5.728169526264537e-06,39.92635499124098,80.56,80.64,-0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv2,19.883248166106213,3.8643763065338135,6.5517447688358115e-06,76.83635311003275,80.56,80.62,-0.060000000000002274,0.060000000000002274
resnet50_no_weights,CIFAR10,PTQ,layer3.2.conv3,12.82239638550379,1.730047345161438,6.599606876989128e-06,22.18335282534845,80.56,80.48,0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv1,47.20374590960223,1.4352957010269165,5.475218586070696e-06,67.75133357641899,80.56,80.58,-0.01999999999999602,0.01999999999999602
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv2,31.92418846771064,3.8470730781555176,6.522408511955291e-06,122.81468599609245,80.56,80.55,0.010000000000005116,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.3.conv3,17.166656100749968,1.8221403360366821,6.95091375746415e-06,31.280056516046706,80.56,80.59,-0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv1,57.646082204485694,1.3179652690887451,5.027638508181553e-06,75.9755342445469,80.56,80.76,-0.20000000000000284,0.20000000000000284
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv2,18.110879960056657,3.7166619300842285,6.301306711975485e-06,67.31201806786795,80.56,80.38,0.18000000000000682,0.18000000000000682
resnet50_no_weights,CIFAR10,PTQ,layer3.4.conv3,15.301531511364562,1.425818920135498,5.439067535917275e-06,21.817213135953114,80.56,80.48,0.0799999999999983,0.0799999999999983
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv1,52.49775878595134,1.2490419149398804,4.7647167775721755e-06,65.5719011640566,80.56,80.55,0.010000000000005116,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv2,7.574651922468553,3.633517265319824,6.16034150071856e-06,27.522628539077488,80.56,80.55,0.010000000000005116,0.010000000000005116
resnet50_no_weights,CIFAR10,PTQ,layer3.5.conv3,6.778914004041438,1.235762357711792,4.714059286925476e-06,8.37712675235973,80.56,80.59,-0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv1,58.73637139475984,2.3019657135009766,4.390651156427339e-06,135.20911308619668,80.56,80.49,0.07000000000000739,0.07000000000000739
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv2,14.47691627330881,10.155057907104492,4.30427462561056e-06,147.01392307175433,80.56,80.45,0.10999999999999943,0.10999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer4.0.conv3,11.597406300927782,4.445934772491455,4.239973804942565e-06,51.56131194400633,80.56,80.53,0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer4.0.downsample.0,80.93494827633812,8.893184661865234,4.2406009015394375e-06,719.7694406199862,80.56,80.2,0.35999999999999943,0.35999999999999943
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv1,34.11292260029737,6.117690086364746,5.834283911099192e-06,208.6922884087671,80.56,80.57,-0.009999999999990905,0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv2,95.23175798446414,11.048253059387207,4.682860081730824e-06,1052.144561502678,80.56,80.53,0.030000000000001137,0.030000000000001137
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3,20.406113544045287,5.138381481170654,4.900342446489958e-06,104.85439593738796,80.56,80.61,-0.04999999999999716,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1,37.3627990956638,5.095481872558594,4.8594301915727556e-06,190.38146550000351,80.56,80.34,0.21999999999999886,0.21999999999999886
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2,10.928254797912778,9.913061141967773,4.201703025804211e-06,108.33245798671204,80.56,80.61,-0.04999999999999716,0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3,5.658752361470511,4.508733749389648,4.2998635763069615e-06,25.513807751600464,80.56,80.57,-0.009999999999990905,0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,fc,5.479645261878059,1.9603662490844727,9.572100825607776e-05,10.742111628341394,80.56,80.45,0.10999999999999943,0.10999999999999943
cnn,CIFAR10,PTQ,conv1,381.23050886135314,1.078646183013916,0.0012484330821920324,411.21283323175146,80.03,69.47,10.560000000000002,10.560000000000002
cnn,CIFAR10,PTQ,conv2,809.0761291503907,1.2535020112991333,6.800683655051721e-05,1014.178555184132,80.03,78.51,1.519999999999996,1.519999999999996
cnn,CIFAR10,PTQ,conv3,335.5298848370321,7.018991470336914,9.520116469098462e-05,2355.0813997142554,80.03,79.25,0.7800000000000011,0.7800000000000011
cnn,CIFAR10,PTQ,conv4,21.341719758816254,32.16675567626953,0.00010907238659759362,686.4938851932563,80.03,79.89,0.14000000000000057,0.14000000000000057
cnn,CIFAR10,PTQ,fc1,12.81038812297789,9.188928604125977,8.763245205045678e-06,117.71374185318722,80.03,80.11,-0.0799999999999983,0.0799999999999983
cnn,CIFAR10,PTQ,fc2,4.977426312535142,2.1343696117401123,0.00020843453239649534,10.62366746615065,80.03,79.71,0.3200000000000074,0.3200000000000074
