model,dataset,stage,layer,eigenvalue
resnet50_no_weights,CIFAR10,QAT,layer2.0.conv3.weight,2.143014430999756
resnet50_no_weights,CIFAR10,QAT,layer2.0.downsample.0.weight,3.5697100162506104
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv1.weight,0.47546279430389404
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv2.weight,0.5515150427818298
resnet50_no_weights,CIFAR10,QAT,layer2.1.conv3.weight,0.48168128728866577
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv1.weight,1.2505568265914917
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv2.weight,0.43908292055130005
resnet50_no_weights,CIFAR10,QAT,layer2.2.conv3.weight,0.5133544206619263
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv1.weight,0.8991296291351318
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv2.weight,1.1840441226959229
resnet50_no_weights,CIFAR10,QAT,layer2.3.conv3.weight,0.6209354400634766
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv1.weight,6.031648635864258
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv2.weight,3.9845030307769775
resnet50_no_weights,CIFAR10,QAT,layer3.0.conv3.weight,1.836974024772644
resnet50_no_weights,CIFAR10,QAT,layer3.0.downsample.0.weight,2.503720760345459
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv1.weight,1.3208415508270264
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv2.weight,1.2466561794281006
resnet50_no_weights,CIFAR10,QAT,layer3.1.conv3.weight,0.8374995589256287
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv1.weight,2.354612350463867
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv2.weight,1.6176857948303223
resnet50_no_weights,CIFAR10,QAT,layer3.2.conv3.weight,0.806647539138794
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv1.weight,2.9346365928649902
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv2.weight,2.959759473800659
resnet50_no_weights,CIFAR10,QAT,layer3.3.conv3.weight,1.2087211608886719
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv1.weight,4.230461597442627
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv2.weight,1.6132497787475586
resnet50_no_weights,CIFAR10,QAT,layer3.4.conv3.weight,1.2615606784820557
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv1.weight,7.049145698547363
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv2.weight,0.7231363654136658
resnet50_no_weights,CIFAR10,QAT,layer3.5.conv3.weight,0.6825367212295532
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv1.weight,8.13456916809082
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv2.weight,1.4647579193115234
resnet50_no_weights,CIFAR10,QAT,layer4.0.conv3.weight,0.8415082693099976
resnet50_no_weights,CIFAR10,QAT,layer4.0.downsample.0.weight,8.146027565002441
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv1.weight,2.737475872039795
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv2.weight,6.420246124267578
resnet50_no_weights,CIFAR10,QAT,layer4.1.conv3.weight,1.6952793598175049
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv1.weight,3.8612477779388428
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv2.weight,0.9817736148834229
resnet50_no_weights,CIFAR10,QAT,layer4.2.conv3.weight,0.5953015089035034
resnet50_no_weights,CIFAR10,QAT,fc.weight,0.8506411910057068
