model,dataset,stage,config,batch,fp32_latency_ms,int8_latency_ms,fp32_throughput_ips,int8_throughput_ips,speedup_x
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,1,2.4942029267549515,1.9872835837304592,400.9296875058343,503.19944681615846,1.255081532990335
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,1,2.4942029267549515,13.723922427743673,400.9296875058343,72.86546577809594,0.18174125800308966
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,2,2.505192067474127,2.004033885896206,798.3419818251742,997.9871169222262,1.2500747043774674
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,2,2.505192067474127,5.897796712815762,798.3419818251742,339.10968746244697,0.42476744951727624
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,4,2.4631479755043983,1.96439353749156,1623.9381635936381,2036.2518628053601,1.2538974133715206
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,4,2.4631479755043983,6.206830497831106,1623.9381635936381,644.4513027055832,0.39684473039260737
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,8,2.4984078481793404,1.9924081861972809,3202.0392530506274,4015.241482855396,1.2539638541376468
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,8,2.4984078481793404,6.625831127166748,3202.0392530506274,1207.3956982089364,0.37707086103289766
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,16,2.477517817169428,1.9820276647806168,6458.0766641186265,8072.541208334234,1.2499915420926555
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,16,2.477517817169428,6.629456300288439,6458.0766641186265,2413.4709205796953,0.373713575434781
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,32,2.5395117700099945,2.0253132097423077,12600.847288010034,15800.025322538406,1.2538859460325702
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,32,2.5395117700099945,6.671994924545288,12600.847288010034,4796.166718034618,0.38062255723059746
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,64,2.5727609172463417,2.0536216907203197,24875.99977556407,31164.454626281058,1.2527920448405134
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,64,2.5727609172463417,6.724593695253134,24875.99977556407,9517.303632065885,0.38258979409602756
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,128,3.637243527919054,3.307265229523182,35191.48471018975,38702.671578128655,1.0997737633650404
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,128,3.637243527919054,7.420534268021584,35191.48471018975,17249.431830213292,0.490159252224408
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,256,6.443444639444351,5.849167238920927,39730.301775678185,43766.91408249556,1.101600343476084
resnet18_no_weights,CIFAR10,PTQ,int8_dynamic_act,256,6.443444639444351,8.008026983588934,39730.301775678185,31967.92424958454,0.8046232427349553
resnet18_no_weights,CIFAR10,PTQ,int8_weight_only,512,12.200159020721912,11.095107533037663,41966.66610085741,46146.46577110034,1.0995980872103999
